blob,node_from,node_to,support_hybrid,cluster_num,cluster
1,14,9,0.08,"7,8","G,H"
1,16,12,0.06,"4,5","D,E"
1,15,6,0.17,6,F
1,17,11,0.13,"2,3","B,C"
