repID,p_H0,p_H1,z_uncorrected_H0,z_uncorrected_H1,sigma_H0,sigma_H1,score_H0,score_H1,gamma_1,gamma_2,RF_net0_true,RF_net0_true_noF,RF_net1_1_true,RF_net1_2_true,RF_net1_1_true_noF,RF_net1_2_true_noF,RF_net1_1_true_noG,RF_net1_2_true_noG,RF_net1_1_true_noH,RF_net1_2_true_noH,RF_net0_alter1,RF_net0_alter2,RF_net0_alter3,RF_net1_1_alter1,RF_net1_1_alter2,RF_net1_1_alter3,RF_net1_2_alter1,RF_net1_2_alter2,RF_net1_2_alter3,hybrid_taxon,major_donor,minor_donor
001,0.5497505993743064,0.5518649936556116,-0.274204248553541,-0.274204248553541,2.1930855113630137,2.103201998529038,6.540442531227891,4.906965256592995,0.9833052377300883,0.016694762269911716,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0,6.0,"B,C","D,E",G
002,0.33877769848754224,0.6344941260854606,0.8226127456606225,-0.8226127456606228,1.9783793777751555,2.3928464818525828,9.300943480190384,6.352203511292307,0.9753515159980717,0.024648484001928272,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",D
003,0.35936494884441494,0.5518404664226837,0.8226127456606225,-0.274204248553541,2.2840407407187717,2.104202740453573,8.089773275319466,5.335579706153596,0.984823393019626,0.01517660698037408,0.0,0.0,0.0,8.0,0.0,6.0,0.0,6.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,H,G,B
004,0.45169419379351794,0.5489001810844129,0.27420424855354075,-0.274204248553541,2.259017019576621,2.2314228914082483,8.092036617158934,6.496115302441715,0.9825299750618744,0.017470024938125505,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",E
005,0.5537007191442271,0.6517751186168121,-0.274204248553541,-0.8226127456606228,2.030889282603925,2.1086288885135005,6.45353279778235,4.112899838990625,0.9840719824390664,0.015928017560933632,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,"D,E","B,C",H
006,0.5509401063731295,0.6450412483904346,-0.274204248553541,-0.8226127456606228,2.1416036433975196,2.2115214373071694,6.0195600677059335,4.90827062575907,0.9864446688164712,0.01355533118352885,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",E
007,0.5514150870797883,0.6549654646363738,-0.274204248553541,-0.8226127456606228,2.1217101911755862,2.0629200415295688,6.907936711981427,5.1384796057997235,0.9851378281245478,0.014862171875452194,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",E
008,0.6531696611742963,0.6526509041567174,-0.8226127456606228,-0.8226127456606228,2.0884213558088542,2.0958964561464417,5.82721202421496,4.617913346518943,0.983729005219691,0.016270994780309033,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",E
009,0.4473826058219692,0.6617982152322119,0.27420424855354075,-0.8226127456606228,2.0729551025390913,1.9709163549464719,7.730158296854598,5.409456088343351,0.9742461141210691,0.025753885878930897,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",E
010,0.650294640190517,0.7396725245425044,-0.8226127456606228,-1.3710212427677047,2.1304805487075087,2.134429542918718,6.146219983915226,4.531038122581013,0.9899830673386806,0.010016932661319448,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,"D,E","B,C",H
011,0.5499655246680337,0.5530735866129212,-0.274204248553541,-0.274204248553541,2.183602596800039,2.055032334231469,5.616034214110318,4.520501790180662,0.9885797610630136,0.01142023893698641,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",C
012,0.5516212759111565,0.6460739919091485,-0.274204248553541,-0.8226127456606228,2.1131880914330443,2.1951415937340695,5.00864128314295,3.953602746009339,0.9931373709280238,0.006862629071976241,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,"D,E","B,C",H
013,0.35336612046470195,0.6464144088300737,0.8226127456606225,-0.8226127456606228,2.1863555008140474,2.1897917640553874,7.624252996298402,5.741622254200676,0.9734930953834924,0.026506904616507572,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",D
014,0.5484738211615895,0.6456151537362753,-0.274204248553541,-0.8226127456606228,2.2511484120182588,2.202391045157392,7.925429324318383,4.923534667230147,0.9742254408239994,0.025774559176000536,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",B
015,0.550211870257292,0.6394545530793917,-0.274204248553541,-0.8226127456606228,2.1728329451476,2.304229520731501,4.608902583258654,3.848062749252641,0.9891672255277449,0.010832774472255039,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",E
016,0.2666365808410068,0.650780125339965,1.3710212427677044,-0.8226127456606228,2.200615088314467,2.12326886585089,8.164796551270578,6.3186236094454395,0.9750923899867108,0.024907610013289217,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,E,D,C
017,0.5494105950814732,0.5492386853586313,-0.274204248553541,-0.274204248553541,2.2082551884788146,2.216004668706571,7.943072156318916,6.514189060733856,0.8960676555337675,0.10393234446623249,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,H,G,F
018,0.5497505993743064,0.557044154655035,-0.274204248553541,-0.274204248553541,2.193085511363014,1.9111072254239598,8.907980023042805,7.2764912150058,0.9833880036933931,0.016611996306606928,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",C
019,0.34761638224054914,0.5487248019354235,0.8226127456606225,-0.274204248553541,2.0997672624343333,2.2394951095871267,8.202193349183943,6.406407415451536,0.981106329210577,0.01889367078942297,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,2.0,"B,C,D,E",F,H
020,0.5548538348281856,0.6543461905960198,-0.274204248553541,-0.8226127456606228,1.9879335248564316,2.0716489382393597,7.483053759284244,6.183302095706449,0.9851439969135805,0.014856003086419574,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,E,D,B
021,0.44656199785686607,0.5545290377571458,0.27420424855354075,-0.274204248553541,2.040934475634772,1.9998496184064936,9.241133692434598,7.583141109843047,0.9861295676899277,0.013870432310072334,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,2.0,"B,C,D,E",F,G
022,0.4463924463906959,0.6503135906456968,0.27420424855354075,-0.8226127456606228,2.0344403083946823,2.130198197563375,7.946096990482136,5.923679341869846,0.9879984772573878,0.012001522742612269,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,"D,E","B,C",H
023,0.5522622252811044,0.6549239478629889,-0.274204248553541,-0.8226127456606228,2.087124870620803,2.0635031167366695,5.8549278361854045,4.23183131058614,0.9788557071258601,0.021144292874139877,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",B
024,0.5533652824233637,0.6459957704866124,-0.274204248553541,-0.8226127456606228,2.0437323957072153,2.1963743192761873,5.093871987913634,4.1705021076535065,0.9869867711514956,0.013013228848504444,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,G,H,E
025,0.5515006984030127,0.5506960347802686,-0.274204248553541,-0.274204248553541,2.1181634831507643,2.151970595433176,5.3451180651410715,4.381227819508475,0.9253307701306654,0.07466922986933457,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,E,D,"B,C,D,F,G,H"
026,0.2536468107916354,0.5549578338653481,1.3710212427677044,-0.274204248553541,2.0677254947899897,1.9841477024816356,10.384864084157716,6.646504268366971,0.809444960604914,0.19055503939508597,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,"D,E","B,C","G,H"
027,0.549322907641421,0.6531395891721403,-0.274204248553541,-0.8226127456606228,2.2122012988121496,2.0888533387188026,5.975107791802678,4.7327186979983775,0.9853997358337577,0.014600264166242246,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,G,H,B
028,0.5515798396978845,0.5527018044587834,-0.274204248553541,-0.274204248553541,2.1148952586090908,2.0696154886057188,10.305446545738977,7.8451489162778465,0.5389861110617044,0.46101388893829565,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,4.0,F,"G,H","B,C"
029,0.3485361099050059,0.4429278337254434,0.8226127456606225,0.27420424855354075,2.1131880914330443,1.9101627691145262,8.00595578853131,6.439702645731299,0.9861088157146739,0.013891184285326062,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0,6.0,"B,C","D,E",G
