repID,p_H0,p_H1,z_uncorrected_H0,z_uncorrected_H1,sigma_H0,sigma_H1,score_H0,score_H1,gamma_1,gamma_2,RF_net0_true,RF_net0_true_noF,RF_net1_1_true,RF_net1_2_true,RF_net1_1_true_noF,RF_net1_2_true_noF,RF_net1_1_true_noG,RF_net1_2_true_noG,RF_net1_1_true_noH,RF_net1_2_true_noH,RF_net0_alter1,RF_net0_alter2,RF_net0_alter3,RF_net1_1_alter1,RF_net1_1_alter2,RF_net1_1_alter3,RF_net1_2_alter1,RF_net1_2_alter2,RF_net1_2_alter3,hybrid_taxon,major_donor,minor_donor
001,0.6395758213018989,0.6356775309934769,-0.8226127456606228,-0.8226127456606228,2.302140226845477,2.371129612462748,6.271804657569073,4.467770344270328,0.5258665914131733,0.4741334085868268,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,"B,C",F,"D,E"
002,0.7752466466911152,0.7885001575647667,-1.9194297398747864,-1.9194297398747864,2.538130269146541,2.395610020103658,3.6055502762703044,2.784931655292911,0.5375258281216886,0.4624741718783114,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,"A,G,H","B,C,D,E,F",F
003,0.7847686952346002,0.797418893991003,-1.9194297398747864,-1.9194297398747864,2.434587859394846,2.305795248785829,3.385301737790783,2.4763373046723567,0.9879746710960123,0.012025328903987687,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,C,B,F
004,0.7827317956704385,0.7951202762948799,-1.9194297398747864,-1.9194297398747864,2.456233438980691,2.3285091554937125,4.0782898348835435,2.2839338247079435,0.9940703115404466,0.005929688459553428,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,H,G,"D,E"
005,0.5498157176029481,0.7910980940335985,-0.274204248553541,-1.9194297398747864,2.1902037533533276,2.3689723669110125,6.520610288663073,4.206501370563539,0.9205448219375711,0.0794551780624289,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,E,D,F
006,0.7984604133001711,0.7925179021729469,-1.9194297398747864,-1.9194297398747864,2.2955989275329043,2.3545827975197504,3.866404287074841,2.434129299497243,0.5833983203415514,0.4166016796584487,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,0.0,F,"B,C","B,C,D,E,G,H"
007,0.7997706148121366,0.813601450026517,-1.9194297398747864,-1.9194297398747864,2.2828553549072197,2.1536470204566487,5.184830643152315,4.3078427014602045,0.9908168200967568,0.009183179903243298,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,D,E,"G,H"
008,0.21430288558498872,0.6411423830235052,1.9194297398747864,-0.8226127456606228,2.4248091158110356,2.275465745930325,7.644850227318174,4.857660702729099,0.6605573050020357,0.3394426949979643,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,"D,E",F,"B,C"
009,0.20525564233568933,0.8007815135974685,1.9194297398747864,-1.9194297398747864,2.332251808068888,2.2730854126567874,10.749187342347488,8.782254515164803,0.9936471877893903,0.006352812210609719,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0,6.0,"B,C","D,E",G
010,0.7936889499510411,0.8095408669377,-1.9194297398747864,-1.9194297398747864,2.3428021266234316,2.190615665168402,5.545907362921918,4.290532297447796,0.9921992829809041,0.007800717019095958,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,C,B,E
011,0.54485563429467,0.5452346435811014,-0.274204248553541,-0.274204248553541,2.433599394936971,2.413122022347158,6.0784537224849,4.374827120916234,0.5541843753055014,0.4458156246944987,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,2.0,F,"B,C","G,H"
012,0.63446697204886,0.6366356724497159,-0.8226127456606228,-0.8226127456606228,2.3933491806988543,2.353816290159354,4.082150951124207,2.327143880297535,0.8369178862798035,0.1630821137201966,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,F,"B,C,D,E","B,C,D,E,G,H"
013,0.7805578688988564,0.7971270467373683,-1.9194297398747864,-1.9194297398747864,2.4796313089996715,2.308662992303136,3.0180425390758723,2.131363427606569,0.9570266620124345,0.042973337987565564,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","D,E,F,G,H"
014,0.7775932400887682,0.7925938584372132,-1.9194297398747864,-1.9194297398747864,2.5120461659471185,2.353816290159354,4.676569993016945,2.413656745192611,0.5487640281623343,0.4512359718376658,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,2.0,F,"B,C","G,H"
015,0.7770630852517961,0.7946150549926403,-1.9194297398747864,-1.9194297398747864,2.517905801268218,2.3335409861055756,3.4747007914840147,2.789918103949699,0.9787998307646784,0.02120016923532168,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,A,"B,C,D,E,F,G,H","B,C"
016,0.8013873225850284,0.7856380899503215,-1.9194297398747864,-1.9194297398747864,2.2672562995434693,2.425429192311598,4.554050758476269,2.2492332654187264,0.9497891708980559,0.050210829101944104,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,F,"B,C,D,E","B,C"
017,0.798446993011309,0.7943440587165105,-1.9194297398747864,-1.9194297398747864,2.295729936174902,2.3362459444120924,5.9210146876326935,3.558611814309609,0.5865620115133516,0.4134379884866483,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,0.0,F,"D,E","B,C,D,E,G,H"
018,0.6271325902743234,0.7746980048049923,-0.8226127456606228,-1.9194297398747864,2.5368265060513124,2.5442844688923074,3.4633816996565154,2.4586590689856185,0.9810115313248847,0.018988468675115253,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,"B,C","D,E",D
