repID,p_H0,p_H1,z_uncorrected_H0,z_uncorrected_H1,sigma_H0,sigma_H1,score_H0,score_H1,gamma_1,gamma_2,RF_net0_true,RF_net0_true_noF,RF_net1_1_true,RF_net1_2_true,RF_net1_1_true_noF,RF_net1_2_true_noF,RF_net1_1_true_noG,RF_net1_2_true_noG,RF_net1_1_true_noH,RF_net1_2_true_noH,RF_net0_alter1,RF_net0_alter2,RF_net0_alter3,RF_net1_1_alter1,RF_net1_1_alter2,RF_net1_1_alter3,RF_net1_2_alter1,RF_net1_2_alter2,RF_net1_2_alter3,hybrid_taxon,major_donor,minor_donor
001,0.7661928541036539,0.7807035120793759,-1.9194297398747864,-1.9194297398747864,2.64250962966214,2.4780540510043854,2.9579100402576604,2.0123046591676053,0.6192157461536132,0.38078425384638676,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,"A,G,H","B,C,D,E,F","B,C"
002,0.7952112255805959,0.802693558644577,-1.9194297398747864,-1.9194297398747864,2.327604854974798,2.254752708044961,4.0525594337759525,2.6375598570118477,0.5194570514593156,0.48054294854068436,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,2.0,4.0,F,"B,C,D,E,G,H","B,C"
003,0.788003191932067,0.7829955502659203,-1.9194297398747864,-1.9194297398747864,2.4007517619604877,2.453415602848557,4.022381340037247,2.750182265007717,0.9399283266602163,0.06007167333978374,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,"G,H","B,C,D,E,F","B,C"
004,0.7843834909367062,0.7980585696049634,-1.9194297398747864,-1.9194297398747864,2.4386610402376396,2.299525940030287,4.228273540364071,3.037791027341024,0.9429506632277662,0.057049336772233804,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,"G,H","B,C,D,E,F","B,C"
005,0.8041865186211864,0.8046699525183943,-1.9194297398747864,-1.9194297398747864,2.2405692080227837,2.2360007263237414,4.072110137888904,3.2721709910195242,0.5255604304068207,0.47443956959317934,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,0.0,4.0,F,"G,H","D,E"
006,0.6443396047282851,0.6386516107524958,-0.8226127456606228,-0.8226127456606228,2.2227802139886084,2.318153270701953,5.751818213329579,3.7773317947366736,0.9559532971945119,0.04404670280548811,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","G,H"
007,0.7140547780835271,0.7892197384494921,-1.3710212427677047,-1.9194297398747864,2.425429192311598,2.3881915012445165,4.64034832734709,3.3988966777620493,0.9861732861421325,0.013826713857867464,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,E,D,"B,C"
008,0.7892932114213073,0.7853670380247827,-1.9194297398747864,-1.9194297398747864,2.3874357842798926,2.428279504790059,4.954323862942021,3.516226588853466,0.9310290418662941,0.06897095813370586,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,A,"B,C,D,E,F,G,H","B,C"
009,0.7153037466998091,0.7240676794390255,-1.3710212427677047,-1.3710212427677047,2.4097546126593636,2.3043600387027023,6.819447671711892,3.923709469400114,0.9437229232052479,0.056277076794752086,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","D,E,F,G,H"
010,0.5475856755917525,0.7172700137830961,-0.274204248553541,-1.3710212427677047,2.2933706355886847,2.3854193685617986,7.059194425146262,2.216821388893903,0.9430312423431156,0.05696875765688441,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,"D,E","B,C","G,H"
