repID,p_H0,p_H1,z_uncorrected_H0,z_uncorrected_H1,sigma_H0,sigma_H1,score_H0,score_H1,gamma_1,gamma_2,RF_net0_true,RF_net0_true_noF,RF_net1_1_true,RF_net1_2_true,RF_net1_1_true_noF,RF_net1_2_true_noF,RF_net1_1_true_noG,RF_net1_2_true_noG,RF_net1_1_true_noH,RF_net1_2_true_noH,RF_net0_alter1,RF_net0_alter2,RF_net0_alter3,RF_net1_1_alter1,RF_net1_1_alter2,RF_net1_1_alter3,RF_net1_2_alter1,RF_net1_2_alter2,RF_net1_2_alter3,hybrid_taxon,major_donor,minor_donor
001,0.8229465245519927,0.8018995157954787,-1.9194297398747864,-1.9194297398747864,2.0713585676529958,2.262342920231546,3.0033845401364303,2.3024648300095576,0.5182835632225861,0.48171643677741394,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,"B,C,D,E","F,G,H",F
002,0.8028755098822123,0.8130603653069298,-1.9194297398747864,-1.9194297398747864,2.2530180260184127,2.1585291566946103,5.072226589020878,3.7305127096811765,0.5367914417663238,0.46320855823367624,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,2.0,0.0,4.0,F,"B,C,D,E,G,H","D,E"
003,0.8204939731067855,0.7912229271109554,-1.9194297398747864,-1.9194297398747864,2.0925934551223864,2.367702480801585,5.213975055151681,3.4389681766842677,0.9876884339496095,0.012311566050390577,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,2.0,"B,C,D,E",F,G
004,0.3421636507237167,0.6525715617596893,0.8226127456606225,-0.8226127456606228,2.023322659999181,2.0970441065848857,7.491185996608992,4.752523474284781,0.8595041031217268,0.1404958968782733,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,E,D,"B,C,D,F"
005,0.6499641619684072,0.8133073827670414,-0.8226127456606228,-1.9194297398747864,2.1354156504062614,2.1562986945574982,4.739016435150999,3.7189343684482914,0.9834397732541669,0.016560226745833156,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,H,G,"D,E"
006,0.8111194684495153,0.7987561061970834,-1.9194297398747864,-1.9194297398747864,2.1761523608755793,2.292714843451635,3.600988655273206,2.662849438297977,0.8916960914865895,0.10830390851341054,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,"D,E","B,C","G,H"
007,0.8298490082445718,0.8069898930779886,-1.9194297398747864,-1.9194297398747864,2.012890787725024,2.2142396308568633,4.702229548061542,3.1703546503567868,0.979748742569074,0.020251257430926078,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,C,B,"G,H"
008,0.71827345633413,0.7378894567616028,-1.3710212427677047,-1.3710212427677047,2.3731581698757704,2.1528089711271203,4.05045852465785,3.143087722838363,0.9509800083357216,0.04901999166427843,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,D,E,F
009,0.808014703801554,0.8271216446300704,-1.9194297398747864,-1.9194297398747864,2.2047112916886062,2.0357703461480217,4.764599371768477,4.0099906014688855,0.9700390496822909,0.02996095031770902,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,E,D,"G,H"
010,0.7421177049507672,0.8101545041045943,-1.3710212427677047,-1.9194297398747864,2.1096270560905945,2.1849794823626745,5.962687192012227,3.321151774881601,0.5201772371713932,0.4798227628286068,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,2.0,4.0,F,"B,C,D,E,G,H","B,C"
