repID,p_H0,p_H1,z_uncorrected_H0,z_uncorrected_H1,sigma_H0,sigma_H1,score_H0,score_H1,gamma_1,gamma_2,RF_net0_true,RF_net0_true_noF,RF_net1_1_true,RF_net1_2_true,RF_net1_1_true_noF,RF_net1_2_true_noF,RF_net1_1_true_noG,RF_net1_2_true_noG,RF_net1_1_true_noH,RF_net1_2_true_noH,RF_net0_alter1,RF_net0_alter2,RF_net0_alter3,RF_net1_1_alter1,RF_net1_1_alter2,RF_net1_1_alter3,RF_net1_2_alter1,RF_net1_2_alter2,RF_net1_2_alter3,hybrid_taxon,major_donor,minor_donor
001,0.8068006598057963,0.779113566454396,-1.9194297398747864,-1.9194297398747864,2.216004668706571,2.4953490572048693,4.610280776534372,3.3475648396706177,0.962717879900821,0.03728212009917895,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,F,"B,C,D,E","B,C"
002,0.6352059526838639,0.6356914756923628,-0.8226127456606228,-0.8226127456606228,2.379739039209307,2.3708759207472125,3.793884402766599,2.97254432254448,0.9927553113117048,0.007244688688295218,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,"D,E","B,C",B
003,0.2780203442949668,0.5459003998750525,1.3710212427677044,-0.274204248553541,2.328767462572603,2.3779690582733113,7.7976798421701075,4.847154300598513,0.6403272309192928,0.3596727690807072,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,"D,E",F,"B,C"
004,0.7459955130539115,0.8112255402980959,-1.3710212427677047,-1.9194297398747864,2.071213367094291,2.175184721219917,5.407109492353925,1.8435885421023206,0.5321661571435842,0.4678338428564158,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,0.0,4.0,F,"G,H","D,E"
005,0.7939453464068355,0.7993771470500879,-1.9194297398747864,-1.9194297398747864,2.3402332638699295,2.286672731383117,5.021890415464646,2.6546290782349073,0.513432267882573,0.486567732117427,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,F,"D,E","B,C,D,E"
006,0.7895630813877825,0.7973657685532216,-1.9194297398747864,-1.9194297398747864,2.384662773088342,2.3063169219257134,3.846112244355866,2.8903819567965585,0.9883004651486447,0.011699534851355367,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,E,D,"B,C"
007,0.6306021660298426,0.7940223931802567,-0.8226127456606228,-1.9194297398747864,2.4669850096005814,2.339462054996172,4.678648426110942,2.956101032381,0.988994755671839,0.011005244328160937,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,B,C,"G,H"
008,0.62653455537851,0.5472348322856905,-0.8226127456606228,-0.274204248553541,2.549244322645703,2.3104860667534117,5.139625411021583,4.233378046882833,0.6056136617725631,0.39438633822743685,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,F,"B,C,D,E","B,C,D,E,G,H"
009,0.45591346957935486,0.6356426880340198,0.27420424855354075,-0.8226127456606228,2.4762328895538617,2.3717637230328683,6.042998316801558,3.780209272105098,0.9711933291083917,0.028806670891608314,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,E,D,"B,C"
010,0.7814689802215782,0.7939453464068355,-1.9194297398747864,-1.9194297398747864,2.469787364138894,2.3402332638699295,4.42400267321245,3.1861087883430907,0.6781343121923016,0.3218656878076984,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,F,"B,C,D,E","B,C,D,E,G,H"
