repID,p_H0,p_H1,z_uncorrected_H0,z_uncorrected_H1,sigma_H0,sigma_H1,score_H0,score_H1,gamma_1,gamma_2,RF_net0_true,RF_net0_true_noF,RF_net1_1_true,RF_net1_2_true,RF_net1_1_true_noF,RF_net1_2_true_noF,RF_net1_1_true_noG,RF_net1_2_true_noG,RF_net1_1_true_noH,RF_net1_2_true_noH,RF_net0_alter1,RF_net0_alter2,RF_net0_alter3,RF_net1_1_alter1,RF_net1_1_alter2,RF_net1_1_alter3,RF_net1_2_alter1,RF_net1_2_alter2,RF_net1_2_alter3,hybrid_taxon,major_donor,minor_donor
001,0.06239598949367347,0.6335667037307404,3.5646552311960313,-0.8226127456606228,2.3223011662501727,2.4101290016327495,6.916294328077892,3.5646807062693076,0.945668187220455,0.054331812779545054,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,C,B,"D,E"
002,0.7163511909808508,0.7165238581846666,-1.3710212427677047,-1.3710212427677047,2.396739640064318,2.3946054661145877,6.23928218259265,5.080739653049057,0.9855040688460186,0.014495931153981382,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,"B,C","D,E",D
003,0.7939967043559215,0.782457342746316,-1.9194297398747864,-1.9194297398747864,2.339719152865512,2.4591703472904185,3.1380907462089564,2.0409359330165207,0.9902386215883278,0.009761378411672272,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,"B,C","D,E",D
004,0.7895753657524491,0.7627141575947094,-1.9194297398747864,-1.9194297398747864,2.3845366505034016,2.684290135926924,5.519700413572948,3.7448285069184464,0.5538732646992542,0.44612673530074576,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,F,"D,E","G,H"
005,0.7084631890428257,0.716138462455439,-1.3710212427677047,-1.3710212427677047,2.497758393536332,2.399373351773959,5.839804156774631,3.5702929813165305,0.549104075801214,0.45089592419878594,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,0.0,F,"B,C","B,C,D,E,G,H"
006,0.7810067140658508,0.7888897860609105,-1.9194297398747864,-1.9194297398747864,2.474774995468373,2.391589272454678,3.6010447356107242,2.6487317171884377,0.7136355541714109,0.2863644458285891,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,F,"B,C,D,E","G,H"
007,0.2992918556586178,0.4542880088103087,1.3710212427677044,0.27420424855354075,2.6043341550149517,2.387813672659226,6.144158567954369,4.210335801959037,0.9004603421718904,0.09953965782810958,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,"G,H","B,C,D,E,F","D,E"
008,0.640588495629653,0.7857089236075256,-0.8226127456606228,-1.9194297398747864,2.2848306562674496,2.424685081481902,5.640265859405198,3.8115629646388527,0.9453144681021615,0.054685531897838514,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,C,B,"D,E"
009,0.7826402242444979,0.7875087300125199,-1.9194297398747864,-1.9194297398747864,2.457212798445039,2.405882515147347,3.9011326836651192,2.8024498979481782,0.990177057440055,0.009822942559945022,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,D,E,"B,C"
010,0.7824116767223921,0.7860046201561854,-1.9194297398747864,-1.9194297398747864,2.459659491073931,2.421582158502151,3.554243411130072,2.5399166998541127,0.6051934771874377,0.39480652281256234,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,F,"B,C,D,E","D,E"
