repID,p_H0,p_H1,z_uncorrected_H0,z_uncorrected_H1,sigma_H0,sigma_H1,score_H0,score_H1,gamma_1,gamma_2,RF_net0_true,RF_net0_true_noF,RF_net1_1_true,RF_net1_2_true,RF_net1_1_true_noF,RF_net1_2_true_noF,RF_net1_1_true_noG,RF_net1_2_true_noG,RF_net1_1_true_noH,RF_net1_2_true_noH,RF_net0_alter1,RF_net0_alter2,RF_net0_alter3,RF_net1_1_alter1,RF_net1_1_alter2,RF_net1_1_alter3,RF_net1_2_alter1,RF_net1_2_alter2,RF_net1_2_alter3,hybrid_taxon,major_donor,minor_donor
001,0.7915106395208652,0.8034232811629987,-1.9194297398747864,-1.9194297398747864,2.364779154831972,2.2478059477960644,3.426808239918731,2.2460649719639996,0.9494221266389682,0.05057787336103186,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,"D,E","B,C","G,H"
002,0.788318049138246,0.8049410825580643,-1.9194297398747864,-1.9194297398747864,2.3974924243492457,2.2334436811103444,3.136476477076248,2.661427165361184,0.9906486153986199,0.00935138460138007,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,A,"B,C,D,E,F,G,H",C
003,0.8197210653815223,0.7942925230258979,-1.9194297398747864,-1.9194297398747864,2.0993375252952484,2.336760819557608,3.740822402830936,2.518841334405688,0.9449781573743873,0.05502184262561271,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,A,"B,C,D,E,F,G,H","B,C"
004,0.810575606791209,0.8110286330832239,-1.9194297398747864,-1.9194297398747864,2.1811220124245003,2.176981423967772,2.5779557121774253,1.6755718391426486,0.5827565116633524,0.4172434883366476,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,F,"B,C,D,E","G,H"
005,0.7983665082674019,0.826093720555962,-1.9194297398747864,-1.9194297398747864,2.2965158310810767,2.04446805405713,3.6201042548582985,2.5596805230179345,0.9853878567902445,0.014612143209755502,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,E,D,C
006,0.8086343803863001,0.8108169825385543,-1.9194297398747864,-1.9194297398747864,2.198974470475841,2.1789146777541166,3.4558465200171775,2.008644076136048,0.5350497119555295,0.46495028804447047,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,F,"D,E","G,H"
007,0.6417584844352469,0.812353319040265,-0.8226127456606228,-1.9194297398747864,2.265132902871081,2.1649289349152037,4.933125708114597,2.7863974996526037,0.5181518435101895,0.48184815648981055,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,0.0,F,"D,E","B,C,D,E,G,H"
008,0.8207252429781666,0.7950813231109356,-1.9194297398747864,-1.9194297398747864,2.0905803777395096,2.3288966053683526,3.886185736171055,3.06530781667403,0.5325844487962563,0.4674155512037437,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,2.0,0.0,4.0,F,"B,C,D,E,G,H","D,E"
009,0.8166504408408024,0.8047269742254963,-1.9194297398747864,-1.9194297398747864,2.126382787599282,2.235462644081243,3.6272530751408842,2.459194854711717,0.9674436712575956,0.032556328742404404,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","G,H"
010,0.734438632645291,0.8105605388486864,-1.3710212427677047,-1.9194297398747864,2.1891049429225213,2.1812598966748786,3.2906612945038485,2.6144994080646455,0.9872659309945366,0.012734069005463389,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,D,E,C
011,0.8037618086848508,0.801070206330469,-1.9194297398747864,-1.9194297398747864,2.2445924994799835,2.2703052028935913,3.9396923438495106,2.2480183181879805,0.535050958195241,0.46494904180475904,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,F,"D,E","G,H"
012,0.8046842050339078,0.8160147734267942,-1.9194297398747864,-1.9194297398747864,2.2358662179032307,2.132032811608309,3.1738242154214644,1.9410503462513518,0.5711966481671095,0.42880335183289053,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,2.0,F,"B,C","G,H"
013,0.7301993886757422,0.811134615155005,-1.3710212427677047,-1.9194297398747864,2.235058997387878,2.1760141529836057,4.119511040659731,2.1964976580812205,0.6517398155937317,0.34826018440626827,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,"D,E",F,"B,C"
014,0.8011666169566293,0.8024142545052635,-1.9194297398747864,-1.9194297398747864,2.269377709410648,2.2574188467415737,2.9086263667198513,2.3957460190832403,0.9938929642418857,0.00610703575811437,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0,6.0,"B,C","D,E",H
015,0.8146448332478043,0.8177717981505165,-1.9194297398747864,-1.9194297398747864,2.1442702107808387,2.1164589521747397,2.518495244877074,2.027580116468395,0.9156662764223288,0.08433372357767122,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,E,D,F
016,0.8055716677283876,0.7869090865665396,-1.9194297398747864,-1.9194297398747864,2.227510833032736,2.412124761421276,4.4005862259624795,3.0453372846470703,0.9533127567898055,0.0466872432101945,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","G,H"
017,0.8072670759669074,0.8065972488301278,-1.9194297398747864,-1.9194297398747864,2.211657426327271,2.2179039078284926,3.1547442441951534,1.8766317145582647,0.9082677104166554,0.0917322895833446,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,C,B,F
018,0.6428034811828369,0.8138807781306678,-0.8226127456606228,-1.9194297398747864,2.2478059477960644,2.1511318929932277,4.349935487992168,2.737278624070521,0.9828188833654123,0.01718111663458763,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,E,D,B
019,0.7964010745034527,0.8343249585345567,-1.9194297398747864,-1.9194297398747864,2.315816814602785,1.9759455716835004,3.447264520319815,2.164520248265064,0.7973559013142344,0.20264409868576555,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,"G,H","B,C,D,E,F","B,C"
020,0.45066200713801896,0.8061482304936496,0.27420424855354075,-1.9194297398747864,2.2115214373071694,2.2221035891475114,5.380182505525627,3.174751522787402,0.9535341939943257,0.046465806005674314,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,"D,E","B,C","G,H"
021,0.7967832129168932,0.8062060609226569,-1.9194297398747864,-1.9194297398747864,2.312047557853089,2.221562140896504,1.8347115924182553,1.5823931742254937,0.9965762963234958,0.00342370367650429,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,G,H,D
022,0.7346063561834434,0.80259571671769,-1.3710212427677047,-1.9194297398747864,2.18731819867518,2.255686215046737,3.627003233751193,1.983522321905927,0.8303620132710107,0.1696379867289893,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,"G,H","B,C,D,E,F","B,C"
023,0.8173699988326193,0.8056579508426656,-1.9194297398747864,-1.9194297398747864,2.1200085118285634,2.2267005835365024,1.718075920004463,1.4529964442755718,0.9963589819916059,0.0036410180083941346,0.0,0.0,0.0,8.0,0.0,6.0,0.0,6.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,H,G,C
024,0.8075303422267879,0.8210730503260788,-1.9194297398747864,-1.9194297398747864,2.2092083432214795,2.0875571218153772,4.826104791791433,2.111236969389927,0.8417587821537346,0.1582412178462654,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","G,H"
025,0.8054854554237754,0.8108925240761617,-1.9194297398747864,-1.9194297398747864,2.2283207879106146,2.178224426943958,2.3320089064591194,1.8312807585493986,0.969833952256614,0.03016604774338608,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,E,D,"B,C,D,F,G,H"
026,0.8115443858541531,0.815304036069362,-1.9194297398747864,-1.9194297398747864,2.172279216049631,2.138371244416499,2.6169497392539793,2.1773932409442844,0.9636248095863773,0.03637519041362275,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,B,C,"C,D,E,F,G,H"
027,0.745196350022006,0.8017885563220655,-1.3710212427677047,-1.9194297398747864,2.079039685777448,2.2634061762743753,2.482954477909744,1.8635196380247074,0.9898708422645075,0.010129157735492488,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,H,G,F
028,0.8219055511066344,0.8130295277506574,-1.9194297398747864,-1.9194297398747864,2.0803412097231013,2.1588078024269657,3.5783696248954664,2.295268826289285,0.9610920102904996,0.03890798970950042,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","G,H"
029,0.7269723287004503,0.8060037932543787,-1.3710212427677047,-1.9194297398747864,2.2710998958306745,2.2234566329245635,4.381380095043367,3.192208945582264,0.6142024947155897,0.3857975052844102,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,0.0,F,"D,E","B,C,D,E,G,H"
030,0.821738554178109,0.8081030078420266,-1.9194297398747864,-1.9194297398747864,2.08178639309276,2.203892660077358,3.0582430840548027,2.469178046114455,0.9928255015987918,0.007174498401208193,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,"D,E","B,C",G
031,0.8157615367214075,0.8131683660528716,-1.9194297398747864,-1.9194297398747864,2.1342886332276634,2.15755361323536,3.0834892760662003,2.0577386752104854,0.9555822857439651,0.04441771425603488,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,C,B,F
032,0.45024630554624856,0.8105605388486864,0.27420424855354075,-1.9194297398747864,2.1929483706624224,2.1812598966748786,6.35211872015873,3.071636222562237,0.5122449404079042,0.48775505959209575,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,F,"D,E","G,H"
033,0.8074717819768797,0.8011941793895376,-1.9194297398747864,-1.9194297398747864,2.209752818483775,2.2691126416401466,4.382717130566402,2.8880515716271566,0.9399151260190982,0.060084873980901815,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,E,D,"B,C,D,F,G,H"
034,0.8001792425812211,0.8089752646540402,-1.9194297398747864,-1.9194297398747864,2.2788996157458565,2.195826526695208,2.311979150059602,1.8419210840567863,0.9882878273353666,0.011712172664633444,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,H,G,F
035,0.8008776547850751,0.7957325129947148,-1.9194297398747864,-1.9194297398747864,2.2721590540534984,2.3224306686156018,3.413910860240026,2.349294164688922,0.980906462576253,0.01909353742374697,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,E,D,F
036,0.8141608273391177,0.8140362718108907,-1.9194297398747864,-1.9194297398747864,2.148613821370293,2.149733328452309,5.080314015239481,2.9305877461625713,0.6561696142947722,0.3438303857052279,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,2.0,0.0,4.0,F,"B,C,D,E,G,H","D,E"
037,0.8068442989293558,0.8081471874433634,-1.9194297398747864,-1.9194297398747864,2.2155974770817743,2.203483230220883,3.9056325637106393,2.587143383715428,0.9482208136031363,0.0517791863968638,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,E,D,"G,H"
038,0.7364355426864215,0.8013321019681992,-1.3710212427677047,-1.9194297398747864,2.167983020214837,2.2677868380553625,4.1305872541971596,2.5642358471324433,0.92914687363563,0.07085312636436998,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,D,E,"G,H"
