parameter_setting,H=0Accepted,H=1Accepted,H>1Accepted,mean_score_H0,mean_score_H1,mean_gamma_1,mean_gamma_2,find_true_net0,find_true_net0_noF,find_true_net1,find_true_net1_noF,mean_p_H0,mean_p_H1,find_alter_net0,find_alter1_net1_major,find_alter2_net1_major,find_alter3_net1_major,find_alter1_net1_minor,find_alter2_net1_minor,find_alter3_net1_minor
SNaQ-DUP0.0003-LOS0.0003-RVN-N_ind2-SF1.0-genelen1000-summary.csv,99,1,0,3.841069582280314,2.4355883475983715,0.8512731886850038,0.14872681131499613,100,100,82,100,0.7427027593416179,0.8022522821183375,0,2,8,5,4,4,3
SNaQ-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000-summary.csv,97,3,0,13.717396462902009,9.910333670719023,0.9739144946089886,0.026085505391011492,100,100,99,100,0.3824017551158725,0.5327352752540344,0,0,0,0,0,1,0
SNaQ-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000-summary.csv,97,3,0,7.4458923170172895,5.576973919393153,0.9237924264921189,0.07620757350788106,100,100,91,100,0.460795282273838,0.5962822393409138,0,4,0,2,3,2,1
SNaQ-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000-summary.csv,98,2,0,12.329633473584133,8.646210159048776,0.9821471825092233,0.017852817490776822,100,100,100,100,0.5006876270424234,0.6268177310413833,0,0,0,0,0,0,0
SNaQ-DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000-summary.csv,99,1,0,6.339519630169609,4.555817034918553,0.923070601457213,0.07692939854278713,100,100,97,100,0.5205543024944573,0.6277843965247142,0,1,0,1,1,1,1
SNaQ-DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000-summary.csv,100,0,0,5.4450731382457525,3.635863046072521,0.8153703553766504,0.1846296446233497,100,100,78,100,0.6410037549431931,0.7424716623511826,0,17,5,0,0,0,11
SNaQ-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000-summary.csv,100,0,0,4.696546052272782,3.3085230539630417,0.8793369631114291,0.12066303688857082,100,100,88,100,0.7109408282352966,0.7679904268278515,0,3,4,4,4,1,5
SNaQ-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000-summary.csv,99,1,0,4.668556633335885,3.154835831022341,0.7780024600252865,0.22199753997471358,100,100,79,100,0.7027726029509589,0.7616608771249801,0,9,9,1,2,1,9
SNaQ-DUP0.0004-LOS0.0004-RVL-N_ind2-SF1.0-genelen1000-summary.csv,100,0,0,4.4372828367771415,2.8692678467508075,0.8257839923620872,0.17421600763791276,100,100,76,100,0.7145573923121786,0.7836717519833291,0,10,8,2,6,0,7
SNaQ-DUP0.0004-LOS0.0004-RVN-N_ind1-SF0.5-genelen1000-summary.csv,99,1,0,4.925792611057912,3.3267917143939,0.8327754787569175,0.16722452124308235,100,100,81,100,0.669029019939542,0.7496821026145021,0,1,5,4,9,4,3
SNaQ-DUP0.0004-LOS0.0004-RVN-N_ind1-SF1.0-genelen1000-summary.csv,100,0,0,4.858388338988848,3.2405360073177034,0.8432252431144989,0.15677475688550124,100,100,78,100,0.6794741228278173,0.7716706193517291,0,4,6,6,6,6,5
SNaQ-DUP0.0004-LOS0.0004-RVN-N_ind2-SF0.5-genelen1000-summary.csv,100,0,0,4.265165273497918,2.880109335818994,0.8500505114214256,0.14994948857857443,100,100,84,100,0.7080753616085422,0.7684224588664311,0,2,4,5,2,8,5
SNaQ-DUP0.0004-LOS0.0004-RVN-N_ind2-SF1.0-genelen1000-summary.csv,100,0,0,4.015080551368897,2.572648783463848,0.8672078962385039,0.13279210376149606,100,100,86,100,0.7399252995065724,0.8016131735073543,0,3,2,4,5,4,0
