param_setting,taxon,role,count_recovered,count_not_recovered,total,pct_correct
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,B,major_donor,27,6,33,81.8
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,C,minor_donor,23,7,30,76.7
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,B,minor_donor,21,8,29,72.4
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,G,minor_donor,24,4,28,85.7
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,H,minor_donor,21,4,25,84.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,B,hybrid_taxon,18,3,21,85.7
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,D,minor_donor,16,5,21,76.2
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,D,hybrid_taxon,16,4,20,80.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,G,hybrid_taxon,20,0,20,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,E,minor_donor,16,4,20,80.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,F,minor_donor,19,0,19,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,H,hybrid_taxon,18,0,18,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,E,hybrid_taxon,13,4,17,76.5
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,F,hybrid_taxon,9,7,16,56.2
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,C,hybrid_taxon,13,3,16,81.2
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,F,major_donor,9,7,16,56.2
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,H,major_donor,12,2,14,85.7
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,G,major_donor,10,2,12,83.3
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,E,major_donor,39,3,42,92.9
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,C,major_donor,37,4,41,90.2
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,D,major_donor,38,3,41,92.7
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,B,major_donor,36,4,40,90.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,H,minor_donor,31,2,33,93.9
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,G,minor_donor,27,2,29,93.1
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,F,minor_donor,28,0,28,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,B,minor_donor,20,4,24,83.3
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,D,hybrid_taxon,21,2,23,91.3
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,C,minor_donor,17,6,23,73.9
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,D,minor_donor,20,3,23,87.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,E,minor_donor,20,3,23,87.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,E,hybrid_taxon,20,2,22,90.9
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,B,hybrid_taxon,19,2,21,90.5
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,C,hybrid_taxon,18,2,20,90.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,F,hybrid_taxon,13,6,19,68.4
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,G,hybrid_taxon,15,0,15,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,H,hybrid_taxon,15,0,15,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,F,major_donor,11,4,15,73.3
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,G,major_donor,7,4,11,63.6
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,H,major_donor,7,4,11,63.6
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,D,major_donor,33,8,41,80.5
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,E,major_donor,33,8,41,80.5
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,B,major_donor,29,5,34,85.3
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,H,minor_donor,28,6,34,82.4
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,C,major_donor,27,5,32,84.4
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,D,minor_donor,26,5,31,83.9
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,G,minor_donor,25,6,31,80.6
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,F,minor_donor,27,0,27,100.0
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,C,hybrid_taxon,21,5,26,80.8
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,E,minor_donor,24,2,26,92.3
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,B,hybrid_taxon,19,5,24,79.2
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,F,major_donor,13,11,24,54.2
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,B,minor_donor,17,5,22,77.3
findgraph-DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,G,hybrid_taxon,21,0,21,100.0
