param_setting,taxon,role,count_recovered,count_not_recovered,total,pct_correct
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,A,hybrid_taxon,3,0,3,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,D,major_donor,73,6,79,92.4
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,E,major_donor,73,6,79,92.4
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,B,major_donor,71,4,75,94.7
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,C,major_donor,71,4,75,94.7
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,F,major_donor,61,0,61,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,G,hybrid_taxon,57,0,57,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,H,hybrid_taxon,57,0,57,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,C,minor_donor,29,4,33,87.9
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,B,minor_donor,28,4,32,87.5
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,G,minor_donor,21,4,25,84.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,D,minor_donor,20,4,24,83.3
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,H,minor_donor,16,4,20,80.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,E,minor_donor,16,4,20,80.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,D,hybrid_taxon,13,0,13,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,E,hybrid_taxon,13,0,13,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,F,hybrid_taxon,4,8,12,33.3
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,B,hybrid_taxon,12,0,12,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,C,hybrid_taxon,12,0,12,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,G,major_donor,5,4,9,55.6
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,H,major_donor,5,4,9,55.6
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,F,minor_donor,7,0,7,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary,A,hybrid_taxon,3,0,3,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,B,major_donor,50,6,56,89.3
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,C,major_donor,49,6,55,89.1
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,D,major_donor,50,4,54,92.6
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,E,major_donor,49,4,53,92.5
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,F,major_donor,40,0,40,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,H,minor_donor,28,6,34,82.4
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,G,hybrid_taxon,33,0,33,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,H,hybrid_taxon,33,0,33,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,G,minor_donor,26,6,32,81.2
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,E,hybrid_taxon,27,0,27,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,C,hybrid_taxon,27,0,27,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,D,hybrid_taxon,26,0,26,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,B,hybrid_taxon,26,0,26,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,B,minor_donor,21,4,25,84.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,C,minor_donor,21,4,25,84.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,E,minor_donor,16,6,22,72.7
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,D,minor_donor,14,6,20,70.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,F,hybrid_taxon,5,12,17,29.4
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,G,major_donor,7,6,13,53.8
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,H,major_donor,7,6,13,53.8
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,F,minor_donor,13,0,13,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary,A,hybrid_taxon,1,0,1,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary,C,major_donor,54,7,61,88.5
