blob,node_from,node_to,support_hybrid,cluster_num,cluster
1,17,9,0.04,"7,8","G,H"
1,10,13,0.01,1,A
1,15,12,0.12,"2,3","B,C"
1,16,6,0.35,6,F
1,14,11,0.18,"4,5","D,E"
