blob,node_from,node_to,support_hybrid,cluster_num,cluster
1,16,9,0.5941666666666666,"7,8","G,H"
1,10,12,0.010833333333333334,1,A
1,17,2,0.03333333333333333,2,B
1,14,11,0.0925,"4,5","D,E"
1,15,6,0.0525,6,F
1,13,3,0.020833333333333332,3,C
