blob,node_from,node_to,support_hybrid,cluster_num,cluster
1,17,12,0.15,"4,5","D,E"
1,10,13,0.07,1,A
1,15,6,0.13,6,F
1,16,9,0.14,"7,8","G,H"
1,14,11,0.09,"2,3","B,C"
