blob,node_from,node_to,support_hybrid,cluster_num,cluster
1,17,9,0.54,"7,8","G,H"
1,10,12,0.03,1,A
1,14,2,0.06,2,B
1,15,11,0.07,"4,5","D,E"
1,16,6,0.07,6,F
1,13,3,0.03,3,C
