blob,node_from,node_to,support_hybrid,cluster_num,cluster
1,10,13,0.07,1,A
1,17,6,0.24,6,F
1,15,11,0.09,"2,3","B,C"
1,16,12,0.07,"4,5","D,E"
1,14,9,0.11,"7,8","G,H"
