blob,node_from,node_to,support_hybrid,cluster_num,cluster
1,17,9,0.38,"7,8","G,H"
1,10,12,0.02,1,A
1,14,4,0.04,4,D
1,15,11,0.08,"2,3","B,C"
1,16,6,0.09,6,F
1,13,5,0.05,5,E
