repID,best_k,H0_trees_found,H1_graphs_found,true_tree_wr,H0_best_tree_is_true_tree,H0_best_tree_is_true_tree_noF,H0_best_tree_is_true_tree_noG,H0_best_tree_is_true_tree_noH,H0_best_tree_WR,H1_best_graph_displayed_true_tree,H1_best_graph_displayed_true_tree_noF,H1_best_graph_displayed_true_tree_noG,H1_best_graph_displayed_true_tree_noH,H1_best_graph_WR,true_tree_found_in_H0,true_tree_found_in_H0_noF,true_tree_found_in_H0_noG,true_tree_found_in_H0_noH,avg_gamma1_H1,avg_gamma2_H1,best_graph_gamma1,best_graph_gamma2,True_tree_displayed_H1_major,True_tree_displayed_H1_minor,True_tree_noF_displayed_H1_major,True_tree_noF_displayed_H1_minor,True_tree_noG_displayed_H1_major,True_tree_noG_displayed_H1_minor,True_tree_noH_displayed_H1_major,True_tree_noH_displayed_H1_minor,best_k_new_WR_3.7,best_graph_hybrid_taxon,best_graph_major_donor,best_graph_minor_donor
001,1,1,3,3.93854644613494,True,True,True,True,3.93854644613498,True,True,True,True,2.12553994096896,True,True,True,True,0.935848069393843,0.06415193060615713,0.857414823683488,0.142585176316512,True,False,True,False,True,False,True,False,1,"G,H","B,C,D,E,F","D,E"
002,0,1,5,1.87549481729428,True,True,True,True,1.87549481729428,True,True,True,True,1.60997487423568,True,True,True,True,0.9948453386010385,0.0051546613989613774,0.995587789233006,0.00441221076699376,True,False,True,False,True,False,True,False,0,C,B,G
003,1,1,14,3.26096714346152,True,True,True,True,3.26096714346152,True,True,True,True,2.06671911841573,True,True,True,True,0.8012578101591641,0.19874218984083597,0.832041436179791,0.167958563820209,True,True,True,True,True,True,True,True,0,"B,C","D,E","G,H"
004,0,1,6,2.118558331202,True,True,True,True,2.11855833120199,True,True,True,True,1.57544449634199,True,True,True,True,0.9807795890678949,0.019220410932105168,0.967238889097776,0.0327611109022239,True,False,True,False,True,False,True,False,0,"D,E","B,C","G,H"
005,0,1,20,1.67567748239758,True,True,True,True,1.6756774823977,True,True,True,True,1.67567748239762,True,True,True,True,0.8850952647756148,0.11490473522438513,0.996878743066905,0.00312125693309473,True,True,True,True,True,True,True,True,0,D,E,H
006,0,1,12,1.87659157763902,True,True,True,True,1.87659157763935,True,True,True,True,1.68791033781765,True,True,True,True,0.9511753760004904,0.04882462399950958,0.9545905565596,0.0454094434404002,True,False,True,False,True,False,True,True,0,B,C,F
007,0,1,7,2.08975792269304,True,True,True,True,2.08975792269293,True,True,True,True,1.90888935526515,True,True,True,True,0.9693353434079822,0.03066465659201786,0.970400972442734,0.0295990275572656,True,False,True,False,True,False,True,False,0,E,D,"G,H"
008,0,1,3,1.6510226284957,True,True,True,True,1.65102262849567,True,True,True,True,1.19383306589236,True,True,True,True,0.9722465145467817,0.0277534854532186,0.980418616500168,0.0195813834998324,True,False,True,False,True,False,True,False,0,D,E,"B,C,E,F,G,H"
009,0,1,5,2.91865284244523,True,True,True,True,2.91865284244502,True,True,True,True,2.13441805420038,True,True,True,True,0.9916306599861331,0.00836934001386727,0.991062748027452,0.00893725197254824,True,False,True,False,True,False,True,False,0,"G,H","B,C,D,E,F",C
010,0,1,41,1.92596446813912,True,True,True,True,1.92596446813912,True,True,True,True,1.92596446813912,True,True,True,True,0.9151624600800335,0.0848375399199667,0.996150742252822,0.00384925774717815,True,True,True,True,True,True,True,True,0,D,E,B
011,0,1,7,1.99443727581834,True,True,True,True,1.99443727581834,True,True,True,True,1.96389437207118,True,True,True,True,0.9147156066640617,0.08528439333593826,0.933461982940099,0.0665380170599008,True,False,True,True,True,False,True,False,0,"G,H","B,C,D,E,F","D,E"
012,0,1,24,2.00712401335374,True,True,True,True,2.00712401335374,True,True,True,True,1.89404117033956,True,True,True,True,0.9806449147942038,0.019355085205796162,0.990256998488497,0.00974300151150276,True,False,True,True,True,True,True,True,0,"B,C","D,E","D,E,F,G,H"
013,0,1,35,1.70642012379076,True,True,True,True,1.70642012379126,True,True,True,True,1.58766523945677,True,True,True,True,0.9075815043665061,0.09241849563349391,0.981370868643783,0.018629131356217,True,True,True,True,True,True,True,True,0,B,C,"G,H"
014,0,1,20,1.81870981802828,True,True,True,True,1.81870981802832,True,True,True,True,1.58386920316539,True,True,True,True,0.8536242491562833,0.14637575084371682,0.976327268591342,0.0236727314086578,True,True,True,True,True,True,True,True,0,E,D,"B,C,D,F,G,H"
015,0,1,2,2.56411935115542,True,True,True,True,2.56411935115539,False,True,False,False,2.25356794406439,True,True,True,True,0.950343735814412,0.04965626418558803,0.910352869377547,0.0896471306224534,True,False,True,False,True,False,True,False,0,"B,C","D,E,F",D
016,0,1,6,2.09353897442852,True,True,True,True,2.09353897442844,True,True,True,True,2.04592260628666,True,True,True,True,0.925022027863351,0.0749779721366489,0.947518226046854,0.0524817739531458,True,False,True,True,True,True,True,True,0,H,G,F
017,0,1,3,2.49201804888219,True,True,True,True,2.4920180488819,True,True,True,True,2.49201804888199,True,True,True,True,0.9434988130217826,0.05650118697821743,0.944307008587747,0.0556929914122525,True,False,True,False,True,False,True,False,0,E,D,"B,C,D,F,G,H"
018,0,1,40,1.81853563289263,True,True,True,True,1.81853563289272,True,True,True,True,1.81853563289272,True,True,True,True,0.9090633981134625,0.09093660188653757,0.970405323710504,0.0295946762894964,True,True,True,True,True,True,True,True,0,C,B,"G,H"
019,0,1,13,2.60798651081036,True,True,True,True,2.60798651081036,True,True,True,True,2.6079865108105,True,True,True,True,0.9550724747850935,0.04492752521490646,0.975136591470152,0.0248634085298478,True,False,True,False,True,True,True,True,0,H,G,"D,E"
020,0,1,8,2.06244856425055,True,True,True,True,2.0624485642504,True,True,True,True,1.66893148466716,True,True,True,True,0.9360825588445343,0.06391744115546592,0.981728943296193,0.0182710567038068,True,False,True,False,True,True,True,True,0,C,B,"B,D,E,F,G,H"
021,0,1,3,2.85712821189553,True,True,True,True,2.85712821189558,True,True,True,True,2.26804328707077,True,True,True,True,0.9939793900609207,0.006020609939079394,0.995264556344821,0.00473544365517897,True,False,True,False,True,False,True,False,0,C,B,G
022,0,1,12,2.18802207080298,True,True,True,True,2.18802207080333,True,True,True,True,2.18802207080306,True,True,True,True,0.9591827106298515,0.040817289370148495,0.981964216651346,0.0180357833486543,True,False,True,True,True,True,True,True,0,H,G,"D,E"
023,0,1,32,1.58332830834013,True,True,True,True,1.58332830834036,True,True,True,True,1.58332830834024,True,True,True,True,0.8980563018296693,0.10194369817033051,0.990432246961264,0.00956775303873603,True,False,True,True,True,True,True,True,0,B,C,"C,D,E,F,G,H"
024,0,1,30,1.90659494912026,True,True,True,True,1.90659494912057,True,True,True,True,1.81594225919184,True,True,True,True,0.9071885368749857,0.09281146312501412,0.996940401988357,0.00305959801164323,True,True,True,True,True,True,True,True,0,G,H,C
025,0,1,4,2.67047227296199,True,True,True,True,2.67047227296203,True,True,True,True,2.27410382248265,True,True,True,True,0.9353290728446193,0.0646709271553805,0.990751945214341,0.00924805478565893,True,False,True,False,True,False,True,False,0,"B,C","D,E",H
026,0,1,1,2.89937160780177,True,True,True,True,2.89937160780193,False,True,False,False,2.00499033678294,True,True,True,True,0.522183568755576,0.477816431244424,0.522183568755576,0.477816431244424,False,False,True,True,False,False,False,False,0,F,"B,C,D,E,G,H","D,E"
027,0,1,2,2.87038684758923,True,True,True,True,2.87038684758938,True,True,True,True,1.88762853359515,True,True,True,True,0.9914714517526599,0.008528548247340114,0.988837577599277,0.0111624224007233,True,False,True,False,True,False,True,False,0,"G,H","B,C,D,E,F",C
028,0,1,39,1.79724502512823,True,True,True,True,1.79724502512823,True,True,True,True,1.53824808799899,True,True,True,True,0.9210774320452152,0.07892256795478483,0.996534240654851,0.00346575934514859,True,True,True,True,True,True,True,True,0,B,C,E
029,0,1,7,2.40827865364881,True,True,True,True,2.40827865364925,True,True,True,True,2.11188579532568,True,True,True,True,0.9101561905147613,0.08984380948523865,0.910423504284741,0.0895764957152594,True,False,True,False,True,True,True,True,0,H,G,F
030,0,1,14,2.13470124849964,True,True,True,True,2.13470124849959,True,True,True,True,2.00046078809384,True,True,True,True,0.9573010483162775,0.042698951683722675,0.97617784059572,0.0238221594042801,True,False,True,True,True,True,True,False,0,E,D,F
031,0,1,2,2.83250789886309,True,True,True,True,2.83250789886324,False,True,False,False,1.90443880173827,True,True,True,True,0.77064686326229,0.22935313673771004,0.551726348308771,0.448273651691229,True,False,True,True,True,False,True,False,0,F,"G,H","D,E"
032,0,1,17,2.48780187745323,True,True,True,True,2.48780187745323,True,True,True,True,2.48780187745261,True,True,True,True,0.9541833243131371,0.04581667568686283,0.967190817870433,0.0328091821295666,True,False,True,False,True,False,True,False,0,E,D,"G,H"
033,0,1,1,2.85870670148154,True,True,True,True,2.85870670148162,True,True,True,True,1.65111126690162,True,True,True,True,0.98629754858593,0.0137024514140698,0.98629754858593,0.0137024514140698,True,False,True,False,True,False,True,False,0,"B,C","D,E","D,E,F,G,H"
034,0,1,9,2.55511049098532,True,True,True,True,2.55511049098532,False,True,False,False,1.83424931511835,True,True,True,True,0.9215223585877423,0.07847764141225777,0.910793856733827,0.0892061432661727,True,False,True,False,True,False,True,False,0,"B,C","D,E,F",E
035,1,1,5,3.0173478881204,True,True,True,True,3.01734788812048,True,True,True,True,2.82289417807576,True,True,True,True,0.991629629290393,0.008370370709606955,0.989418611467045,0.0105813885329549,True,False,True,False,True,False,True,True,0,D,E,F
036,0,1,10,2.23336646946302,True,True,True,True,2.23336646946318,True,True,True,True,1.57740766619952,True,True,True,True,0.9920700605347259,0.007929939465274025,0.996738667317905,0.00326133268209511,True,False,True,False,True,True,True,True,0,G,H,E
037,0,1,11,2.19586839560641,True,True,True,True,2.19586839560684,False,True,False,False,1.33211518053384,True,True,True,True,0.9299635161374847,0.07003648386251494,0.90896521636039,0.0910347836396097,True,False,True,False,True,False,True,False,0,"B,C","D,E,F",D
038,0,1,13,2.68224289794193,True,True,True,True,2.68224289794193,False,True,False,False,1.64711319732452,True,True,True,True,0.8308355591086608,0.16916444089133945,0.924836988592949,0.075163011407051,True,True,True,True,True,True,True,True,0,"B,C",F,D
039,0,1,124,1.64346374815724,True,True,True,True,1.64346374815702,True,True,True,True,1.493328458433,True,True,True,True,0.9297143470767094,0.07028565292329055,0.997209298919619,0.00279070108038126,True,True,True,True,True,True,True,True,0,E,D,G
040,0,1,124,1.37398575492264,True,True,True,True,1.37398575492278,True,True,True,True,1.16349126967977,True,True,True,True,0.9200142148630678,0.07998578513693215,0.983647395232016,0.0163526047679838,True,True,True,True,True,True,True,True,0,G,H,"D,E"
041,0,1,9,1.87599644443241,True,True,True,True,1.87599644443236,False,True,False,False,1.17855050111651,True,True,True,True,0.9360457505247967,0.06395424947520346,0.925563922898533,0.074436077101467,True,False,True,False,True,False,True,False,0,"D,E",F,B
042,0,1,1,2.27888540577142,True,True,True,True,2.27888540577156,False,True,False,False,1.86691380899351,True,True,True,True,0.90890772363801,0.0910922763619901,0.90890772363801,0.0910922763619901,False,False,True,False,False,False,False,False,0,"D,E","B,C,F",C
043,0,1,9,2.22506168760269,True,True,True,True,2.2250616876028,True,True,True,True,2.21883015234002,True,True,True,True,0.9281500984843132,0.07184990151568665,0.995069286211567,0.00493071378843291,True,False,True,False,True,False,True,False,0,C,B,D
044,1,1,2,3.10546477507335,True,True,True,True,3.10546477507329,False,True,False,False,2.16582027499219,True,True,True,True,0.771209249029825,0.228790750970175,0.553899944864034,0.446100055135966,True,False,True,True,True,False,True,False,0,F,"D,E","G,H"
045,0,1,34,2.14343672351001,True,True,True,True,2.14343672351013,True,True,True,True,1.72469212415697,True,True,True,True,0.9485985147466878,0.051401485253312264,0.982980595455301,0.0170194045446987,True,False,True,True,True,False,True,True,0,D,E,"B,C,E,F,G,H"
046,0,1,9,2.04152949237162,True,True,True,True,2.04152949237191,True,True,True,True,1.8194169647756,True,True,True,True,0.9677374374057464,0.03226256259425357,0.973897606546357,0.0261023934536433,True,False,True,False,True,False,True,True,0,H,G,"D,E"
