repID,best_k,H0_trees_found,H1_graphs_found,true_tree_wr,H0_best_tree_is_true_tree,H0_best_tree_is_true_tree_noF,H0_best_tree_is_true_tree_noG,H0_best_tree_is_true_tree_noH,H0_best_tree_WR,H1_best_graph_displayed_true_tree,H1_best_graph_displayed_true_tree_noF,H1_best_graph_displayed_true_tree_noG,H1_best_graph_displayed_true_tree_noH,H1_best_graph_WR,true_tree_found_in_H0,true_tree_found_in_H0_noF,true_tree_found_in_H0_noG,true_tree_found_in_H0_noH,avg_gamma1_H1,avg_gamma2_H1,best_graph_gamma1,best_graph_gamma2,True_tree_displayed_H1_major,True_tree_displayed_H1_minor,True_tree_noF_displayed_H1_major,True_tree_noF_displayed_H1_minor,True_tree_noG_displayed_H1_major,True_tree_noG_displayed_H1_minor,True_tree_noH_displayed_H1_major,True_tree_noH_displayed_H1_minor,best_k_new_WR_3.7,best_graph_hybrid_taxon,best_graph_major_donor,best_graph_minor_donor
001,>1,1,1,5.55605908442303,True,True,True,True,5.55605908442349,True,True,True,True,5.18466121012406,True,True,True,True,0.981588688891727,0.0184113111082728,0.981588688891727,0.0184113111082728,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
002,>1,1,1,6.82269551641616,True,True,True,True,6.82269551641628,True,True,True,True,6.19009775037563,True,True,True,True,0.964863675112876,0.0351363248871241,0.964863675112876,0.0351363248871241,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
003,>1,1,1,6.55671528403215,True,True,True,True,6.55671528403209,True,True,True,True,6.11055956241324,True,True,True,True,0.97464437400034,0.0253556259996603,0.97464437400034,0.0253556259996603,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
004,>1,1,1,6.96392717026979,True,True,True,True,6.9639271702706,True,True,True,True,5.35173074256233,True,True,True,True,0.958658593057112,0.0413414069428877,0.958658593057112,0.0413414069428877,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
005,>1,1,1,5.41648045751197,True,True,True,True,5.41648045751128,True,True,True,True,5.41648045751204,True,True,True,True,0.989118451424584,0.0108815485754162,0.989118451424584,0.0108815485754162,True,False,True,False,True,False,True,False,>1,D,E,H
006,>1,1,1,6.9243345006516,True,True,True,True,6.92433450065126,True,True,True,True,6.92433450065133,True,True,True,True,0.97166752554808,0.0283324744519196,0.97166752554808,0.0283324744519196,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
007,>1,1,1,6.28603336358261,True,True,True,True,6.28603336358246,True,True,True,True,6.16958640240277,True,True,True,True,0.980025682168132,0.0199743178318679,0.980025682168132,0.0199743178318679,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
008,>1,1,1,5.74950085290879,True,True,True,True,5.74950085290859,True,True,True,True,5.74950085290852,True,True,True,True,0.976428771884899,0.0235712281151007,0.976428771884899,0.0235712281151007,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
009,>1,1,2,6.66252776126091,True,True,True,True,6.66252776126092,True,True,True,True,5.55896678149163,True,True,True,True,0.9651873650280075,0.03481263497199215,0.988175389568707,0.0118246104312926,True,False,True,False,True,False,True,False,>1,D,E,H
010,>1,1,1,6.0422036726872,True,True,True,True,6.04220367268744,True,True,True,True,4.62858842891196,True,True,True,True,0.98157400146909,0.0184259985309096,0.98157400146909,0.0184259985309096,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
011,>1,1,2,6.68657206635926,True,True,True,True,6.68657206635858,True,True,True,True,5.08557996988425,True,True,True,True,0.972075414184075,0.0279245858159251,0.979340809067409,0.0206591909325907,True,False,True,False,True,True,True,False,>1,G,H,B
012,>1,1,1,6.62007620749358,True,True,True,True,6.62007620749344,True,True,True,True,5.88022583305791,True,True,True,True,0.975544614387851,0.0244553856121492,0.975544614387851,0.0244553856121492,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
013,>1,1,1,5.80241315130443,True,True,True,True,5.80241315130435,True,True,True,True,4.64659860361519,True,True,True,True,0.978038039686913,0.0219619603130866,0.978038039686913,0.0219619603130866,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
014,>1,1,1,6.50208807116167,True,True,True,True,6.50208807116192,True,True,True,True,4.80048201569228,True,True,True,True,0.968911754877224,0.0310882451227762,0.968911754877224,0.0310882451227762,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
015,>1,1,1,4.81858320948759,True,True,True,True,4.81858320948746,True,True,True,True,4.35948009318779,True,True,True,True,0.980125484945646,0.0198745150543544,0.980125484945646,0.0198745150543544,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
