repID,best_k,H0_trees_found,H1_graphs_found,true_tree_wr,H0_best_tree_is_true_tree,H0_best_tree_is_true_tree_noF,H0_best_tree_is_true_tree_noG,H0_best_tree_is_true_tree_noH,H0_best_tree_WR,H1_best_graph_displayed_true_tree,H1_best_graph_displayed_true_tree_noF,H1_best_graph_displayed_true_tree_noG,H1_best_graph_displayed_true_tree_noH,H1_best_graph_WR,true_tree_found_in_H0,true_tree_found_in_H0_noF,true_tree_found_in_H0_noG,true_tree_found_in_H0_noH,avg_gamma1_H1,avg_gamma2_H1,best_graph_gamma1,best_graph_gamma2,True_tree_displayed_H1_major,True_tree_displayed_H1_minor,True_tree_noF_displayed_H1_major,True_tree_noF_displayed_H1_minor,True_tree_noG_displayed_H1_major,True_tree_noG_displayed_H1_minor,True_tree_noH_displayed_H1_major,True_tree_noH_displayed_H1_minor,best_k_new_WR_3.7,best_graph_hybrid_taxon,best_graph_major_donor,best_graph_minor_donor
001,0,1,8,2.30662295677119,True,True,True,True,2.30662295677107,True,True,True,True,2.19978936599769,True,True,True,True,0.9682099084587343,0.031790091541265574,0.963340534866944,0.0366594651330564,True,False,True,False,True,False,True,False,0,B,C,"G,H"
002,0,1,11,2.78026187549475,True,True,True,True,2.78026187549466,True,True,True,True,2.30617069089631,True,True,True,True,0.9179361136312516,0.08206388636874844,0.986335752832066,0.0136642471679338,True,False,True,False,True,False,True,False,0,D,E,B
003,0,1,5,2.42865013703699,True,True,True,True,2.42865013703699,True,True,True,True,1.670167033104,True,True,True,True,0.9298855173452651,0.07011448265473483,0.986851591368893,0.0131484086311069,True,False,True,True,True,False,True,False,0,F,"B,C,D,E",C
004,0,1,9,2.10809657268756,True,True,True,True,2.10809657268761,True,True,True,True,1.58477250210293,True,True,True,True,0.9821911872647906,0.017808812735209383,0.995564331836165,0.00443566816383534,True,False,True,False,True,False,True,True,0,B,C,E
005,1,1,13,3.23447157347062,True,True,True,True,3.23447157347069,True,True,True,True,2.29344040044068,True,True,True,True,0.8093429740989172,0.1906570259010828,0.60640907985219,0.39359092014781,True,True,True,True,True,True,True,True,0,"B,C","D,E","D,E,F,G,H"
006,0,1,11,1.91029002722816,True,True,True,True,1.91029002722819,True,True,True,True,1.91029002722822,True,True,True,True,0.935542251656004,0.06445774834399604,0.994526464873485,0.00547353512651516,True,False,True,True,True,False,True,True,0,B,C,D
007,0,1,2,2.89820908339005,True,True,True,True,2.89820908339004,True,True,True,True,2.32497767867984,True,True,True,True,0.9816027640012714,0.018397235998728383,0.995822996261945,0.00417700373805496,True,False,True,False,True,True,True,True,0,H,G,D
008,0,1,26,1.89440102708616,True,True,True,True,1.89440102708621,True,True,True,True,1.95090118172779,True,True,True,True,0.9044909092095994,0.0955090907904001,0.996631732554269,0.00336826744573104,True,True,True,True,True,True,True,True,0,G,H,E
009,1,1,1,3.19373012287433,True,True,True,True,3.19373012287427,True,True,True,True,1.85151926554448,True,True,True,True,0.994041215295709,0.00595878470429134,0.994041215295709,0.00595878470429134,True,False,True,False,True,False,True,True,0,H,G,C
010,0,1,13,2.73979035322047,True,True,True,True,2.7397903532205,False,True,False,False,2.47882172150981,True,True,True,True,0.8358545060004088,0.1641454939995912,0.58526565285523,0.41473434714477,True,False,True,True,True,False,True,False,0,F,"B,C","B,C,D,E,G,H"
011,0,1,9,2.21023506951013,True,True,True,True,2.21023506951019,True,True,True,True,2.0545426944867,True,True,True,True,0.9718507403797525,0.028149259620247478,0.996143263857127,0.00385673614287341,True,False,True,True,True,True,True,True,0,D,E,G
012,1,1,3,3.00475530613795,True,True,True,True,3.00475530613806,True,True,True,True,2.23940570697566,True,True,True,True,0.957063689275679,0.042936310724320866,0.9873381872935,0.0126618127065,True,False,True,True,True,False,True,False,0,F,"B,C,D,E",E
013,1,1,1,3.8820642740256,True,True,True,True,3.88206427402554,True,True,True,True,2.26839620995532,True,True,True,True,0.988114050817201,0.0118859491827991,0.988114050817201,0.0118859491827991,True,False,True,False,True,False,True,False,1,D,E,F
014,1,1,5,3.44604816937792,True,True,True,True,3.44604816937848,True,True,True,True,2.33154414605447,True,True,True,True,0.8628267093394466,0.13717329066055348,0.849545320287008,0.150454679712992,True,False,True,False,True,True,True,True,0,G,H,"B,C,D,E"
015,1,1,13,3.03520695496564,True,True,True,True,3.03520695496586,False,True,False,False,2.0919937446008,True,True,True,True,0.7884045307668337,0.21159546923316627,0.554647751707948,0.445352248292052,True,True,True,True,True,True,True,True,0,F,"G,H","B,C"
016,1,1,9,3.36169423998286,True,True,True,True,3.36169423998312,False,True,False,False,1.78342766508066,True,True,True,True,0.8910063442929776,0.10899365570702231,0.932334937956426,0.0676650620435743,True,False,True,False,True,False,True,False,0,"B,C","D,E,F",E
017,0,1,9,2.82308933861843,True,True,True,True,2.8230893386184,True,True,True,True,1.86029654208907,True,True,True,True,0.750712022027579,0.2492879779724209,0.850215559399344,0.149784440600656,True,True,True,True,True,True,True,True,0,"G,H","B,C,D,E,F","D,E"
018,0,1,10,2.48934109772173,True,True,True,True,2.48934109772173,True,True,True,True,1.9089037290244,True,True,True,True,0.9251086641889807,0.074891335811019,0.99569951953986,0.00430048046013964,True,False,True,False,True,True,True,True,0,G,H,B
019,0,1,7,2.47551873678924,True,True,True,True,2.47551873678911,True,True,True,True,1.52043409936385,True,True,True,True,0.9945714222913526,0.0054285777086476306,0.995193043591795,0.0048069564082055,True,False,True,False,True,True,True,True,0,G,H,B
020,0,1,8,2.43712164931029,True,True,True,True,2.43712164931002,True,True,True,True,2.18513255038961,True,True,True,True,0.9738237425857805,0.02617625741421966,0.99464479793985,0.00535520206015039,True,False,True,True,True,False,True,True,0,D,E,B
021,1,1,1,3.01433448775929,True,True,True,True,3.01433448775943,True,True,True,True,2.73985406466772,True,True,True,True,0.993321934165953,0.00667806583404684,0.993321934165953,0.00667806583404684,True,False,True,False,True,False,True,False,0,D,E,G
022,0,1,4,2.28064702194173,True,True,True,True,2.28064702194185,True,True,True,True,1.91877057229558,True,True,True,True,0.9902950442163334,0.009704955783666584,0.99139564247099,0.0086043575290103,True,False,True,False,True,False,True,False,0,"G,H","B,C,D,E,F",C
023,0,1,7,2.96775157531792,True,True,True,True,2.96775157531808,True,True,True,True,2.35079126665559,True,True,True,True,0.7499205543733835,0.2500794456266165,0.983948619460034,0.0160513805399665,True,True,True,True,True,True,True,True,0,F,"B,C,D,E",G
024,0,1,1,2.8478920162228,True,True,True,True,2.8478920162227,True,True,True,True,2.25842905452173,True,True,True,True,0.948802353605628,0.0511976463943725,0.948802353605628,0.0511976463943725,True,False,True,False,True,False,True,False,0,D,E,F
025,0,1,2,2.85761228109709,True,True,True,True,2.85761228109709,True,True,True,True,2.34225532569285,True,True,True,True,0.9343499193573446,0.0656500806426556,0.888218432331877,0.111781567668123,True,False,True,False,True,True,True,False,0,G,H,F
026,0,1,13,2.33877564750894,True,True,True,True,2.33877564750876,False,True,False,False,1.7662746188324,True,True,True,True,0.807139369297437,0.19286063070256304,0.92450659802555,0.0754934019744505,True,True,True,True,True,True,True,True,0,"B,C","D,E,F",D
027,0,1,17,2.75855272424148,True,True,True,True,2.7585527242416,True,True,True,True,2.42166078363935,True,True,True,True,0.9011995939343637,0.09880040606563628,0.990622680470473,0.0093773195295272,True,False,True,False,True,True,True,True,0,D,E,B
028,0,1,2,2.63451236812281,True,True,True,True,2.63451236812293,True,True,True,True,1.88378216001614,True,True,True,True,0.8648266909319064,0.1351733090680935,0.831984573875857,0.168015426124143,True,False,True,False,True,False,True,False,0,"D,E","B,C","B,C,F,G,H"
029,1,1,3,3.10811998729258,True,True,True,True,3.10811998729243,True,True,True,True,2.01920677805435,True,True,True,True,0.9846867191063068,0.015313280893693665,0.995297823850972,0.00470217614902835,True,False,True,False,True,False,True,False,0,E,D,H
030,0,1,8,2.56236634615102,True,True,True,True,2.56236634615108,True,True,True,True,1.6305778246628,True,True,True,True,0.9254840783372534,0.07451592166274648,0.949817091271989,0.050182908728011,True,False,True,False,True,True,True,True,0,G,H,"B,C"
031,0,1,8,1.96240458477241,True,True,True,True,1.96240458477229,True,True,True,True,1.65216392602976,True,True,True,True,0.9789756479119032,0.02102435208809679,0.964012395395654,0.0359876046043464,True,False,True,False,True,False,True,False,0,E,D,"B,C,D,F,G,H"
032,0,1,3,2.31967441424064,True,True,True,True,2.31967441424073,True,True,True,True,2.23825720651416,True,True,True,True,0.988752333073507,0.011247666926492768,0.981309360327685,0.0186906396723149,True,False,True,False,True,False,True,True,0,H,G,"B,C"
033,0,1,13,2.65348515910381,True,True,True,True,2.65348515910409,False,True,False,False,2.6534851591037,True,True,True,True,0.9309761822950102,0.06902381770498975,0.900692435052564,0.0993075649474364,True,False,True,False,True,False,True,False,0,"B,C","D,E,F",D
034,0,1,10,2.5939958442926,True,True,True,True,2.5939958442926,True,True,True,True,1.86662918270754,True,True,True,True,0.9120541174152506,0.08794588258474931,0.854137021993965,0.145862978006035,True,False,True,False,True,True,True,True,0,G,H,F
035,0,1,4,2.32153243505879,True,True,True,True,2.32153243505879,True,True,True,True,1.94720490091686,True,True,True,True,0.9923388738739127,0.007661126126087471,0.987180411722473,0.0128195882775274,True,False,True,True,True,True,True,False,0,"D,E","B,C","B,C,F,G,H"
036,0,1,6,2.11131139807108,True,True,True,True,2.11131139807102,True,True,True,True,1.58012510017148,True,True,True,True,0.9837194868123594,0.016280513187640417,0.996367510650675,0.00363248934932503,True,False,True,False,True,True,True,False,0,C,B,H
037,0,1,36,1.77271312070371,True,True,True,True,1.77271312070365,True,True,True,True,1.61700940131068,True,True,True,True,0.9136496429815788,0.08635035701842109,0.989510941779066,0.0104890582209345,True,True,True,True,True,True,True,True,0,"B,C","D,E","D,E,F,G,H"
038,0,1,20,2.89254498514739,True,True,True,True,2.89254498514742,True,True,True,True,2.89254498514729,True,True,True,True,0.9504311735095581,0.04956882649044196,0.991644056540331,0.00835594345966917,True,False,True,False,True,True,True,False,0,B,C,D
039,1,1,3,3.31811533730914,True,True,True,True,3.31811533730914,True,True,True,True,2.07550702557213,True,True,True,True,0.9860304656958859,0.013969534304114068,0.988246829293025,0.0117531707069748,True,False,True,False,True,False,True,True,0,H,G,E
040,0,1,11,2.2224962118128,True,True,True,True,2.2224962118128,True,True,True,True,1.37793562157769,True,True,True,True,0.9240576126136539,0.07594238738634586,0.995994287121364,0.00400571287863616,True,False,True,False,True,False,True,False,0,E,D,H
041,1,1,2,3.02615081353326,True,True,True,True,3.02615081353317,True,True,True,True,2.97096070697529,True,True,True,True,0.992400911014467,0.0075990889855326905,0.990101935402352,0.00989806459764775,True,False,True,False,True,False,True,False,0,B,C,"C,D,E,F,G,H"
042,0,1,1,2.99037799566311,True,True,True,True,2.99037799566317,False,True,False,False,1.99848361415534,True,True,True,True,0.508184278300076,0.491815721699924,0.508184278300076,0.491815721699924,False,False,True,True,False,False,False,False,0,F,"B,C","B,C,D,E,G,H"
043,0,1,3,2.02684001281382,True,True,True,True,2.02684001281374,True,True,True,True,1.49379545372382,True,True,True,True,0.8270432357157352,0.17295676428426443,0.950594033472498,0.0494059665275016,True,False,True,True,True,False,True,False,0,"B,C","D,E","D,E,F,G,H"
044,0,1,10,2.12781124718171,True,True,True,True,2.12781124718192,True,True,True,True,1.86551599397403,True,True,True,True,0.985099629639026,0.014900370360973778,0.996887437794979,0.00311256220502143,True,False,True,False,True,True,True,True,0,G,H,C
045,0,1,41,2.27028064038798,True,True,True,True,2.27028064038806,True,True,True,True,2.22891559806829,True,True,True,True,0.8895519917862887,0.11044800821371102,0.960011901544586,0.0399880984554136,True,True,True,True,True,True,True,True,0,C,B,F
046,0,1,5,2.11438254859471,True,True,True,True,2.11438254859464,True,True,True,True,1.88329949476066,True,True,True,True,0.9785650791219792,0.021434920878020625,0.99331443061539,0.00668556938460951,True,False,True,True,True,True,True,True,0,F,"B,C,D,E",G
047,1,1,6,3.16973673316134,True,True,True,True,3.1697367331612,True,True,True,True,2.01425237482089,True,True,True,True,0.9813028168301375,0.018697183169862713,0.979987008717489,0.0200129912825113,True,False,True,False,True,False,True,False,0,"G,H","B,C,D,E,F",C
048,0,1,4,2.84090411007754,True,True,True,True,2.84090411007754,True,True,True,True,2.21102952761081,True,True,True,True,0.8429011238082745,0.1570988761917255,0.989102120805355,0.0108978791946451,True,False,True,True,True,False,True,False,0,"G,H","B,C,D,E,F",C
049,0,1,4,2.39776118812668,True,True,True,True,2.39776118812657,True,True,True,True,2.39776118812657,True,True,True,True,0.9584430882891555,0.041556911710844725,0.989190930768346,0.0108090692316544,True,False,True,False,True,False,True,False,0,"B,C,D,E",F,H
050,1,1,5,3.11143969964806,True,True,True,True,3.1114396996483,False,True,False,False,3.11143969964819,True,True,True,True,0.9253121347542568,0.0746878652457434,0.902304532859213,0.0976954671407868,True,False,True,False,True,False,True,False,0,"D,E","B,C,F",B
051,0,1,4,2.36576628661918,True,True,True,True,2.36576628661918,True,True,True,True,1.88380348422821,True,True,True,True,0.9501163309858699,0.049883669014130036,0.937126970250724,0.0628730297492756,True,False,True,False,True,True,True,False,0,G,H,"D,E"
052,1,1,2,3.97102902293542,True,True,True,True,3.97102902293545,True,True,True,True,2.71040675749328,True,True,True,True,0.6612162313614405,0.3387837686385595,0.703707803216328,0.296292196783672,True,False,True,True,True,False,True,False,1,"G,H","B,C,D,E,F","B,C"
053,0,1,4,2.13630683341387,True,True,True,True,2.13630683341391,True,True,True,True,2.11475814487391,True,True,True,True,0.9920162338883458,0.007983766111654118,0.989230464427108,0.0107695355728917,True,False,True,False,True,False,True,False,0,C,B,"G,H"
054,0,1,7,2.6902198966025,True,True,True,True,2.69021989660261,True,True,True,True,2.53478341950339,True,True,True,True,0.9632847705090605,0.036715229490939714,0.931178329815258,0.0688216701847422,True,False,True,False,True,False,True,False,0,"B,C","D,E","G,H"
055,1,1,1,4.39001605968164,True,True,True,True,4.39001605968162,True,True,True,True,2.7278183557884,True,True,True,True,0.985989906268868,0.0140100937311319,0.985989906268868,0.0140100937311319,True,False,True,False,True,False,True,False,1,B,C,E
056,0,1,10,2.97354989525989,True,True,True,True,2.97354989525996,True,True,True,True,2.23851037042006,True,True,True,True,0.9878361043080031,0.012163895691997165,0.99192717063283,0.00807282936716958,True,False,True,True,True,False,True,False,0,C,B,"B,D,E,F,G,H"
057,0,1,9,2.19813081440437,True,True,True,True,2.19813081440426,True,True,True,True,2.19813081440449,True,True,True,True,0.9413576492873048,0.05864235071269524,0.995472265766787,0.00452773423321255,True,False,True,True,True,True,True,False,0,G,H,D
058,0,1,1,2.55736060064423,True,True,True,True,2.55736060064426,False,True,False,False,1.45448460788926,True,True,True,True,0.51219558074003,0.48780441925997,0.51219558074003,0.48780441925997,False,False,True,True,False,False,False,False,0,F,"G,H","B,C"
059,0,1,14,2.38902530397402,True,True,True,True,2.38902530397385,True,True,True,True,2.35239384900193,True,True,True,True,0.9862929979997253,0.01370700200027473,0.941129576721474,0.0588704232785261,True,False,True,True,True,True,True,True,0,D,E,F
060,0,1,4,2.94547434950279,True,True,True,True,2.94547434950308,True,True,True,True,2.86572483675741,True,True,True,True,0.9929742647732337,0.007025735226766112,0.993984084914551,0.0060159150854493,True,False,True,True,True,False,True,True,0,C,B,D
061,0,1,10,2.56156807548653,True,True,True,True,2.5615680754866,True,True,True,True,2.56156807548666,True,True,True,True,0.9142163976729586,0.0857836023270415,0.991357191374956,0.00864280862504419,True,False,True,False,True,True,True,False,0,E,D,C
062,0,1,9,2.66167238606109,True,True,True,True,2.66167238606099,True,True,True,True,2.6602415360873,True,True,True,True,0.9091158609592997,0.0908841390407002,0.875872720204806,0.124127279795194,True,False,True,False,True,False,True,False,0,E,D,F
063,0,1,10,2.78757184511946,True,True,True,True,2.78757184511951,True,True,True,True,1.80151030571669,True,True,True,True,0.9345804597075602,0.06541954029243972,0.989752156343866,0.0102478436561342,True,False,True,False,True,False,True,False,0,B,C,E
064,1,1,1,4.00347350566497,True,True,True,True,4.00347350566497,True,True,True,True,1.82239762298416,True,True,True,True,0.986162272971809,0.0138377270281914,0.986162272971809,0.0138377270281914,True,False,True,False,True,False,True,False,1,"B,C","D,E",G
065,0,1,17,1.95923095554593,True,True,True,True,1.95923095554594,True,True,True,True,1.36592384975883,True,True,True,True,0.8464833625438011,0.15351663745619876,0.987151038600127,0.0128489613998726,True,True,True,True,True,True,True,True,0,F,"B,C,D,E",C
066,0,1,5,2.9438634300859,True,True,True,True,2.94386343008584,True,True,True,True,2.9438634300861,True,True,True,True,0.9525525846839988,0.04744741531600115,0.955966674513098,0.044033325486902,True,False,True,False,True,False,True,True,0,H,G,F
067,0,1,17,2.02692039175349,True,True,True,True,2.02692039175341,True,True,True,True,2.02692039175334,True,True,True,True,0.9480199858166759,0.051980014183324035,0.990168818829353,0.00983118117064707,True,False,True,True,True,True,True,True,0,"G,H","B,C,D,E,F",B
068,0,1,10,2.99820240274785,True,True,True,True,2.99820240274785,True,True,True,True,2.25295109426816,True,True,True,True,0.9090656647184547,0.09093433528154522,0.995928959149951,0.00407104085004848,True,False,True,False,True,True,True,True,0,G,H,C
069,1,1,6,3.13802384180048,True,True,True,True,3.13802384180055,True,True,True,True,3.0983869317427,True,True,True,True,0.9640816808859064,0.035918319114093794,0.99091588425783,0.00908411574216983,True,False,True,False,True,False,True,True,0,"D,E","B,C",H
