repID,best_k,H0_trees_found,H1_graphs_found,true_tree_wr,H0_best_tree_is_true_tree,H0_best_tree_is_true_tree_noF,H0_best_tree_is_true_tree_noG,H0_best_tree_is_true_tree_noH,H0_best_tree_WR,H1_best_graph_displayed_true_tree,H1_best_graph_displayed_true_tree_noF,H1_best_graph_displayed_true_tree_noG,H1_best_graph_displayed_true_tree_noH,H1_best_graph_WR,true_tree_found_in_H0,true_tree_found_in_H0_noF,true_tree_found_in_H0_noG,true_tree_found_in_H0_noH,avg_gamma1_H1,avg_gamma2_H1,best_graph_gamma1,best_graph_gamma2,True_tree_displayed_H1_major,True_tree_displayed_H1_minor,True_tree_noF_displayed_H1_major,True_tree_noF_displayed_H1_minor,True_tree_noG_displayed_H1_major,True_tree_noG_displayed_H1_minor,True_tree_noH_displayed_H1_major,True_tree_noH_displayed_H1_minor,best_k_new_WR_3.7,best_graph_hybrid_taxon,best_graph_major_donor,best_graph_minor_donor
001,0,1,9,2.4816890954361,True,True,True,True,2.48168909543623,True,True,True,True,2.48168909543617,True,True,True,True,0.9663174583711124,0.03368254162888747,0.937041741960745,0.0629582580392548,True,False,True,False,True,True,True,True,0,B,C,"C,D,E,F,G,H"
002,0,1,4,2.61403650526493,True,True,True,True,2.61403650526509,True,True,True,True,2.10072758200221,True,True,True,True,0.9622042339129335,0.03779576608706657,0.987929975622712,0.0120700243772882,True,False,True,False,True,False,True,False,0,B,C,E
003,1,1,9,3.13641403998867,True,True,True,True,3.1364140399887,True,True,True,True,2.30814309120831,True,True,True,True,0.8768704250472936,0.1231295749527064,0.73195188948953,0.26804811051047,True,False,True,False,True,False,True,False,0,D,E,F
004,0,1,28,2.15467348049167,True,True,True,True,2.15467348049148,True,True,True,True,1.97647939088218,True,True,True,True,0.8763019413002523,0.12369805869974773,0.995278328981586,0.0047216710184137,True,True,True,True,True,True,True,True,0,E,D,H
005,1,1,2,3.61129404979995,True,True,True,True,3.61129404979988,True,True,True,True,3.27102535962905,True,True,True,True,0.9827446649414115,0.0172553350585885,0.977188481038973,0.0228115189610274,True,False,True,False,True,False,True,False,0,"B,C","D,E","D,E,F,G,H"
006,0,1,6,2.10190927718727,True,True,True,True,2.10190927718732,True,True,True,True,1.08836148484735,True,True,True,True,0.9640325402592528,0.03596745974074744,0.942655126094896,0.0573448739051042,True,False,True,False,True,False,True,False,0,D,E,"G,H"
007,1,1,3,3.55201566226887,True,True,True,True,3.55201566226892,True,True,True,True,2.27431276406379,True,True,True,True,0.958089175109321,0.04191082489067893,0.982520084455179,0.0174799155448211,True,False,True,False,True,False,True,False,0,C,B,E
008,0,1,3,2.7019831813312,True,True,True,True,2.70198318133137,False,True,False,False,2.70198318133153,True,True,True,True,0.8092600864630893,0.19073991353691067,0.595006181337806,0.404993818662194,False,False,True,True,False,False,False,False,0,F,"B,C","B,C,D,E,G,H"
009,0,1,5,2.27886376769535,True,True,True,True,2.27886376769526,True,True,True,True,2.0229020467155,True,True,True,True,0.9901160977122133,0.009883902287786633,0.990289537534477,0.00971046246552332,True,False,True,True,True,False,True,False,0,C,B,F
010,0,1,3,1.78719335213374,True,True,True,True,1.78719335213372,True,True,True,True,1.06978272576211,True,True,True,True,0.958641217789408,0.0413587822105918,0.987767666409854,0.0122323335901456,True,False,True,True,True,False,True,False,0,F,"B,C,D,E",B
