repID,best_k,H0_trees_found,H1_graphs_found,true_tree_wr,H0_best_tree_is_true_tree,H0_best_tree_is_true_tree_noF,H0_best_tree_is_true_tree_noG,H0_best_tree_is_true_tree_noH,H0_best_tree_WR,H1_best_graph_displayed_true_tree,H1_best_graph_displayed_true_tree_noF,H1_best_graph_displayed_true_tree_noG,H1_best_graph_displayed_true_tree_noH,H1_best_graph_WR,true_tree_found_in_H0,true_tree_found_in_H0_noF,true_tree_found_in_H0_noG,true_tree_found_in_H0_noH,avg_gamma1_H1,avg_gamma2_H1,best_graph_gamma1,best_graph_gamma2,True_tree_displayed_H1_major,True_tree_displayed_H1_minor,True_tree_noF_displayed_H1_major,True_tree_noF_displayed_H1_minor,True_tree_noG_displayed_H1_major,True_tree_noG_displayed_H1_minor,True_tree_noH_displayed_H1_major,True_tree_noH_displayed_H1_minor,best_k_new_WR_3.7,best_graph_hybrid_taxon,best_graph_major_donor,best_graph_minor_donor
001,0,1,7,2.07688561046248,True,True,True,True,2.07688561046252,False,True,False,False,1.88040868535114,True,True,True,True,0.866175778276169,0.13382422172383115,0.587575056124254,0.412424943875746,True,False,True,True,True,True,True,True,0,F,"B,C","G,H"
002,0,1,3,2.68585737273519,True,True,True,True,2.68585737273534,True,True,True,True,2.07705201504446,True,True,True,True,0.9925077834457298,0.007492216554270352,0.989900371435394,0.0100996285646061,True,False,True,True,True,True,True,True,0,F,"B,C,D,E",H
003,0,1,6,2.5167425741502,True,True,True,True,2.51674257415016,True,True,True,True,2.49170639081811,True,True,True,True,0.9549520201599218,0.0450479798400783,0.989212545181647,0.010787454818353,True,False,True,True,True,False,True,False,0,E,D,C
004,1,1,6,3.03012722227065,True,True,True,True,3.03012722227069,True,True,True,True,1.15642156839908,True,True,True,True,0.960493760584621,0.03950623941537918,0.972036129922765,0.0279638700772353,True,False,True,False,True,False,True,False,0,"B,C","D,E",H
005,0,1,3,2.25138124381211,True,True,True,True,2.25138124381196,True,True,True,True,1.6506340148573,True,True,True,True,0.9852153427309721,0.014784657269027834,0.982131983735184,0.0178680162648157,True,False,True,False,True,True,True,False,0,G,H,"D,E"
006,0,1,4,2.87456060277198,True,True,True,True,2.87456060277201,True,True,True,True,2.35899439256709,True,True,True,True,0.973007284472458,0.026992715527541924,0.939122509663466,0.0608774903365338,True,False,True,False,True,False,True,False,0,D,E,"G,H"
007,1,1,13,3.24890875721026,True,True,True,True,3.24890875721031,True,True,True,True,2.96061001647025,True,True,True,True,0.7691940086315553,0.23080599136844465,0.593831162428191,0.406168837571809,True,True,True,True,True,True,True,True,0,"B,C","D,E","G,H"
008,0,1,1,2.38774738476929,True,True,True,True,2.38774738476929,True,True,True,True,1.81792987514889,True,True,True,True,0.992470446644017,0.00752955335598271,0.992470446644017,0.00752955335598271,True,False,True,False,True,False,True,False,0,E,D,H
009,0,1,19,2.3909394678933,True,True,True,True,2.39093946789347,True,True,True,True,2.3909394678934,True,True,True,True,0.8612261129998562,0.13877388700014356,0.99147819124909,0.00852180875090991,True,True,True,True,True,True,True,True,0,"D,E","B,C",H
010,1,1,4,3.40397594370906,True,True,True,True,3.40397594370921,True,True,True,True,3.4039759437091,True,True,True,True,0.9237681957491827,0.07623180425081721,0.909226868618764,0.0907731313812358,True,False,True,False,True,False,True,False,0,D,E,"G,H"
011,1,1,5,3.10415076795708,True,True,True,True,3.10415076795706,True,True,True,True,2.13129160315807,True,True,True,True,0.8210116339263696,0.17898836607363047,0.74378189543144,0.25621810456856,True,False,True,True,True,False,True,False,0,"B,C","D,E","G,H"
012,0,1,5,2.75024018068923,True,True,True,True,2.75024018068912,True,True,True,True,2.24522123552353,True,True,True,True,0.9883749852902872,0.0116250147097129,0.992820593683522,0.0071794063164784,True,False,True,False,True,False,True,False,0,E,D,G
013,>1,1,2,3.51747753076058,True,True,True,True,3.51747753076058,False,True,False,False,3.51747753076058,True,True,True,True,0.959731703145296,0.0402682968547038,0.944757591891687,0.0552424081083128,True,False,True,False,True,False,True,False,0,"B,C",F,D
014,>1,1,3,3.65590406057825,True,True,True,True,3.6559040605783,True,True,True,True,3.51188510073494,True,True,True,True,0.8563842996294584,0.14361570037054183,0.96684694634812,0.0331530536518805,True,False,True,False,True,False,True,True,0,"G,H","B,C,D,E,F",E
015,0,1,5,2.19433573041598,True,True,True,True,2.19433573041586,True,True,True,True,1.47720703667647,True,True,True,True,0.9570251530098876,0.04297484699011227,0.948485260472197,0.0515147395278029,True,False,True,False,True,False,True,True,0,H,G,"B,C"
016,1,1,1,3.32259357011331,True,True,True,True,3.32259357011335,True,True,True,True,2.02246526552329,True,True,True,True,0.992275275235069,0.00772472476493058,0.992275275235069,0.00772472476493058,True,False,True,False,True,False,True,False,0,D,E,G
017,0,1,7,2.65700181054894,True,True,True,True,2.65700181054894,False,True,False,False,2.65700181054876,True,True,True,True,0.8876808837409893,0.11231911625901067,0.895849224278546,0.104150775721454,True,False,True,True,True,False,True,True,0,"B,C",F,E
018,0,1,1,2.36399784328605,True,True,True,True,2.36399784328605,True,True,True,True,1.7418255086633,True,True,True,True,0.993872736495235,0.00612726350476478,0.993872736495235,0.00612726350476478,True,False,True,False,True,False,True,False,0,B,C,H
019,0,1,15,1.9620547362785,True,True,True,True,1.96205473627863,True,True,True,True,1.96171923463789,True,True,True,True,0.9350937687752938,0.06490623122470614,0.904016911482735,0.0959830885172651,True,False,True,False,True,True,True,True,0,B,C,"C,D,E,F"
020,0,1,3,2.38203781095923,True,True,True,True,2.38203781095923,False,True,False,False,2.28591563593729,True,True,True,True,0.753793372025354,0.246206627974646,0.565988963680063,0.434011036319937,True,False,True,True,True,False,True,False,0,F,"G,H","B,C"
021,0,1,5,2.2709471885555,True,True,True,True,2.27180816232049,True,True,True,True,1.99262506303285,True,True,True,True,0.8419527611498433,0.15804723885015687,0.993738908037886,0.00626109196211444,True,False,True,True,True,True,True,False,0,E,D,G
022,1,1,2,3.0263592942431,True,True,True,True,3.0263592942431,True,True,True,True,2.30826358539265,True,True,True,True,0.9948163236679045,0.005183676332095155,0.994143896741363,0.0058561032586365,True,False,True,False,True,True,True,False,0,C,B,G
023,1,1,4,3.64814117220444,True,True,True,True,3.64814117220447,True,True,True,True,2.70479640751927,True,True,True,True,0.9058025509783595,0.09419744902164068,0.707476902144638,0.292523097855362,True,False,True,False,True,False,True,False,0,"G,H","B,C,D,E,F","B,C"
024,0,1,5,2.03673125190898,True,True,True,True,2.03673125190907,True,True,True,True,1.5961485551057,True,True,True,True,0.8336255273936455,0.1663744726063546,0.878111270908897,0.121888729091103,True,False,True,False,True,True,True,True,0,G,H,F
025,0,1,4,2.89711972158659,True,True,True,True,2.89711972158659,True,True,True,True,1.86045144821333,True,True,True,True,0.9900618918838268,0.009938108116173478,0.990392240231078,0.00960775976892247,True,False,True,False,True,True,True,False,0,"D,E","B,C",G
026,1,1,2,3.31721839958982,True,True,True,True,3.31721839958975,False,True,False,False,2.82814026055908,True,True,True,True,0.97256824997918,0.027431750020820052,0.969668952731857,0.0303310472681434,True,False,True,True,True,False,True,False,0,"F,G,H","B,C,D,E",C
027,1,1,7,3.7202654662794,True,True,True,True,3.72026546627936,False,True,False,False,2.84490130620712,True,True,True,True,0.807061112643946,0.1929388873560541,0.705636074984285,0.294363925015715,True,False,True,True,True,False,True,False,1,F,"D,E","G,H"
028,1,1,3,3.37151642089271,True,True,True,True,3.37151642089274,True,True,True,True,3.37151642089244,True,True,True,True,0.9880124172129726,0.011987582787027334,0.989059414649014,0.0109405853509857,True,False,True,False,True,True,True,False,0,G,H,D
029,1,1,3,3.84261681376228,True,True,True,True,3.84261681376237,False,True,False,False,2.86526618881905,True,True,True,True,0.743741798254228,0.256258201745772,0.512966137538832,0.487033862461168,True,False,True,True,True,False,True,False,1,F,"B,C,D,E,G,H","B,C"
030,0,1,5,2.86993632138155,True,True,True,True,2.86993632138184,True,True,True,True,2.08767551254492,True,True,True,True,0.9483317233623498,0.051668276637650126,0.939640155409752,0.0603598445902477,True,False,True,False,True,False,True,False,0,D,E,"G,H"
031,0,1,16,2.26399960721148,True,True,True,True,2.26399960721154,True,True,True,True,2.04616178241,True,True,True,True,0.8887395274885885,0.11126047251141158,0.909592136122911,0.0904078638770891,True,False,True,False,True,True,True,True,0,B,C,"C,D,E,F,G,H"
